Alpha,2ndmidterm1st, , Alpha,T1-100.0 m/s-VLM1-proj_area, , Alpha,T1-100.0 m/s-VLM1-proj_area, , Alpha,T1-100.0 m/s-VLM1-proj_area, , Alpha,T1-100.0 m/s-VLM1-proj_area, , Alpha,T1-108.0 m/s-VLM1-proj_area, , 
           -6,    0.01549178, ,            -6,    0.02149533, ,            -6,     0.0181313, ,            -6,    0.01357665, ,            -6,    0.01246937, ,         -10.5,    0.03738583, , 
         -5.5,    0.01389447, ,          -5.5,    0.01951615, ,          -5.5,    0.01633952, ,          -5.5,    0.01216991, ,          -5.5,    0.01124526, ,           -10,    0.03427566, , 
           -5,     0.0124584, ,            -5,    0.01769322, ,            -5,    0.01470652, ,            -5,    0.01092646, ,            -5,    0.01018513, ,          -9.5,    0.03132801, , 
         -4.5,     0.0111816, ,          -4.5,    0.01602779, ,          -4.5,    0.01323323, ,          -4.5,   0.009843732, ,          -4.5,   0.009286415, ,            -9,    0.02854679, , 
           -4,    0.01007271, ,            -4,    0.01452785, ,            -4,     0.0119273, ,            -4,   0.008930378, ,            -4,   0.008557099, ,          -8.5,    0.02593766, , 
         -3.5,   0.009128883, ,          -3.5,    0.01319085, ,          -3.5,    0.01078511, ,          -3.5,   0.008182553, ,          -3.5,   0.007994336, ,            -8,    0.02350276, , 
           -3,   0.008350949, ,            -3,    0.01201812, ,            -3,   0.009808107, ,            -3,   0.007612809, ,            -3,   0.007629096, ,          -7.5,    0.02123141, , 
         -2.5,   0.007738985, ,          -2.5,    0.01100479, ,          -2.5,   0.008993999, ,          -2.5,   0.007214454, ,          -2.5,   0.007440716, ,            -7,    0.01911921, , 
           -2,   0.007335068, ,            -2,    0.01018675, ,            -2,   0.008381471, ,            -2,   0.007028135, ,            -2,   0.007469405, ,          -6.5,    0.01718145, , 
         -1.5,   0.007146582, ,          -1.5,    0.00960315, ,          -1.5,   0.007995429, ,          -1.5,   0.007045718, ,          -1.5,   0.007690458, ,            -6,    0.01541787, , 
           -1,   0.007057454, ,            -1,   0.009111113, ,            -1,   0.007702878, ,            -1,   0.007165898, ,            -1,   0.008016816, ,          -5.5,    0.01381974, , 
         -0.5,   0.007145374, ,          -0.5,   0.008790774, ,          -0.5,   0.007587473, ,          -0.5,   0.007462026, ,          -0.5,   0.008518957, ,            -5,    0.01238341, , 
            0,   0.007410143, ,             0,   0.008645448, ,             0,    0.00764795, ,             0,   0.007934759, ,             0,   0.009199949, ,          -4.5,    0.01111518, , 
          0.5,   0.007745059, ,           0.5,   0.008592446, ,           0.5,   0.007789259, ,           0.5,   0.008461915, ,           0.5,   0.009928437, ,            -4,    0.01001528, , 
            1,   0.007884562, ,             1,   0.008393744, ,             1,   0.007762361, ,             1,    0.00876428, ,             1,    0.01040509, ,          -3.5,   0.009076257, , 
          1.5,   0.008458112, ,           1.5,    0.00844039, ,           1.5,   0.008073571, ,           1.5,   0.009602264, ,           1.5,    0.01150448, ,            -3,   0.008299758, , 
            2,    0.00951146, ,             2,   0.009068442, ,             2,   0.008919305, ,             2,    0.01086394, ,             2,     0.0129753, ,          -2.5,   0.007695731, , 
          2.5,    0.01083666, ,           2.5,    0.00996249, ,           2.5,    0.01002951, ,           2.5,    0.01240064, ,           2.5,    0.01472168, ,            -2,   0.007303262, , 
            3,    0.01236582, ,             3,    0.01108607, ,             3,    0.01135638, ,             3,    0.01412588, ,             3,    0.01664263, ,          -1.5,   0.007116517, , 
          3.5,    0.01403845, ,           3.5,    0.01235185, ,           3.5,    0.01282256, ,           3.5,    0.01599956, ,           3.5,    0.01871672, ,            -1,   0.007034666, , 
            4,    0.01588843, ,             4,    0.01378822, ,             4,    0.01446478, ,             4,    0.01804811, ,             4,     0.0209604, ,          -0.5,   0.007144352, , 
          4.5,    0.01790178, ,           4.5,    0.01538329, ,           4.5,    0.01626809, ,           4.5,    0.02026226, ,           4.5,    0.02337183, ,             0,   0.007420587, , 
            5,    0.02011814, ,             5,    0.01718256, ,             5,    0.01827488, ,             5,    0.02267616, ,             5,    0.02597873, ,           0.5,   0.007798768, , 
          5.5,     0.0225091, ,           5.5,    0.01916097, ,           5.5,    0.02045862, ,           5.5,    0.02526198, ,           5.5,    0.02875477, ,             1,    0.00796012, , 
            6,    0.02504214, ,             6,    0.02132071, ,             6,    0.02280396, ,             6,     0.0279849, ,             6,      0.031664, ,           1.5,   0.008498415, , 
          6.5,    0.02772115, ,           6.5,    0.02363094, ,           6.5,    0.02529329, ,           6.5,    0.03085413, ,           6.5,     0.0347195, ,             2,   0.009547344, , 
            7,    0.03053841, ,             7,    0.02608612, ,             7,    0.02792461, ,             7,    0.03385811, ,             7,     0.0379057, ,           2.5,    0.01087879, , 
          7.5,    0.03352614, ,           7.5,    0.02870134, ,           7.5,    0.03072165, ,           7.5,    0.03703944, ,           7.5,    0.04127354, ,             3,    0.01238314, , 
            8,    0.03671387, ,             8,    0.03152886, ,             8,    0.03372455, ,             8,    0.04041451, ,             8,    0.04482777, ,           3.5,    0.01404294, , 
          8.5,     0.0400418, ,           8.5,     0.0345064, ,           8.5,    0.03687778, ,           8.5,    0.04392233, ,           8.5,    0.04850857, ,             4,    0.01588678, , 
            9,     0.0434914, ,             9,    0.03759999, ,             9,    0.04015447, ,             9,    0.04755342, ,             9,    0.05231482, ,           4.5,    0.01790256, , 
          9.5,    0.04709196, ,           9.5,    0.04085195, ,           9.5,    0.04358615, ,           9.5,    0.05133086, ,           9.5,    0.05626273, ,             5,     0.0201146, , 
           10,    0.05081787, ,            10,    0.04423527, ,            10,    0.04714653, ,            10,    0.05523152, ,            10,    0.06033099, ,           5.5,    0.02249481, , 
         10.5,    0.05465827, ,          10.5,    0.04773662, ,          10.5,    0.05082312, ,          10.5,    0.05924663, ,          10.5,     0.0645118, ,             6,    0.02501269, , 
           11,    0.05861559, ,            11,    0.05135775, ,            11,    0.05461749, ,            11,    0.06337651, ,            11,    0.06880414, ,           6.5,    0.02768354, , 
         11.5,    0.06270167, ,          11.5,    0.05510725, ,          11.5,    0.05853955, ,          11.5,    0.06763406, ,          11.5,     0.0732237, ,             7,    0.03050106, , 
           12,     0.0670026, ,            12,    0.05906083, ,            12,    0.06267061, ,            12,    0.07210955, ,            12,    0.07786411, ,           7.5,    0.03348272, , 
         12.5,    0.07153679, ,          12.5,    0.06324835, ,          12.5,    0.06703544, ,          12.5,    0.07681783, ,          12.5,    0.08273801, ,             8,    0.03666219, , 
           13,    0.07628482, ,            13,    0.06767432, ,            13,    0.07162568, ,            13,    0.08172576, ,            13,    0.08779585, ,           8.5,    0.03998771, , 
         13.5,    0.08113732, ,          13.5,      0.072203, ,          13.5,    0.07631947, ,          13.5,    0.08673834, ,          13.5,    0.09296124, ,             9,    0.04343211, , 
           14,    0.08617135, ,            14,    0.07692723, ,            14,    0.08120063, ,            14,    0.09192613, ,            14,    0.09829453, ,           9.5,    0.04702942, , 
         14.5,    0.09134437, ,          14.5,    0.08178782, ,          14.5,    0.08621966, ,          14.5,    0.09725177, ,          14.5,     0.1037654, ,            10,    0.05074614, , 
           15,    0.09663001, ,            15,    0.08676657, ,            15,    0.09135234, ,            15,     0.1026887, ,            15,     0.1093504, ,          10.5,    0.05457969, , 
         15.5,     0.1021995, ,          15.5,    0.09196142, ,          15.5,    0.09673659, ,          15.5,     0.1084467, ,          15.5,     0.1153169, ,            11,    0.05853657, , 
