Alpha,2ndmidterm1st, , Alpha,T1-100.0 m/s-VLM1-proj_area, , Alpha,T1-100.0 m/s-VLM1-proj_area, , Alpha,T1-100.0 m/s-VLM1-proj_area, , Alpha,T1-100.0 m/s-VLM1-proj_area, , Alpha,T1-108.0 m/s-VLM1-proj_area, , 
           -6,      0.877816, ,            -6,      1.213917, ,            -6,      1.046078, ,            -6,     0.7092819, ,            -6,     0.5406847, ,         -10.5,      1.679407, , 
         -5.5,     0.7860333, ,          -5.5,      1.123077, ,          -5.5,     0.9547544, ,          -5.5,     0.6170548, ,          -5.5,     0.4480217, ,           -10,       1.59282, , 
           -5,      0.693802, ,            -5,      1.031737, ,            -5,     0.8629563, ,            -5,      0.524405, ,            -5,     0.3549617, ,          -9.5,      1.505553, , 
         -4.5,     0.6011489, ,          -4.5,     0.9399265, ,          -4.5,     0.7707127, ,          -4.5,     0.4313594, ,          -4.5,     0.2615323, ,            -9,       1.41763, , 
           -4,     0.5081052, ,            -4,     0.8476755, ,            -4,     0.6780543, ,            -4,     0.3379492, ,            -4,     0.1677646, ,          -8.5,      1.329081, , 
         -3.5,     0.4146998, ,          -3.5,     0.7550125, ,          -3.5,     0.5850088, ,          -3.5,     0.2442024, ,          -3.5,    0.07368698, ,            -8,       1.23993, , 
           -3,     0.3209629, ,            -3,     0.6619664, ,            -3,     0.4916059, ,            -3,     0.1501597, ,            -3,    -0.0206438, ,          -7.5,      1.150199, , 
         -2.5,     0.2269182, ,          -2.5,     0.5685612, ,          -2.5,     0.3978697, ,          -2.5,    0.05583625, ,          -2.5,    -0.1152278, ,            -7,      1.059911, , 
           -2,     0.1326059, ,            -2,     0.4748344, ,            -2,     0.3038387, ,            -2,   -0.03873015, ,            -2,    -0.2100287, ,          -6.5,     0.9690984, , 
         -1.5,    0.03805355, ,          -1.5,     0.3808215, ,          -1.5,      0.209545, ,          -1.5,    -0.1335146, ,          -1.5,    -0.3050253, ,            -6,     0.8777897, , 
           -1,   -0.05673381, ,            -1,     0.2865209, ,            -1,     0.1149898, ,            -1,    -0.2285099, ,            -1,    -0.4002091, ,          -5.5,     0.7860079, , 
         -0.5,    -0.1517125, ,          -0.5,     0.1919775, ,          -0.5,    0.02021865, ,          -0.5,    -0.3236724, ,          -0.5,    -0.4955337, ,            -5,     0.6937778, , 
            0,     -0.246853, ,             0,    0.09722088, ,             0,   -0.07474025, ,             0,    -0.4189718, ,             0,    -0.5909692, ,          -4.5,     0.6011291, , 
          0.5,    -0.3421455, ,           0.5,     0.0022643, ,           0.5,    -0.1698755, ,           0.5,    -0.5144016, ,           0.5,    -0.6865089, ,            -4,     0.5080903, , 
            1,    -0.4375907, ,             1,   -0.09289356, ,             1,     -0.265188, ,             1,    -0.6099596, ,             1,     -0.782153, ,          -3.5,     0.4146881, , 
          1.5,    -0.5330536, ,           1.5,    -0.1881398, ,           1.5,    -0.3605522, ,           1.5,    -0.7055003, ,           1.5,    -0.8777495, ,            -3,     0.3209511, , 
            2,    -0.6285354, ,             2,     -0.283445, ,             2,     -0.455955, ,             2,      -0.80104, ,             2,    -0.9733252, ,          -2.5,     0.2269087, , 
          2.5,     -0.724032, ,           2.5,    -0.3788132, ,           2.5,    -0.5513987, ,           2.5,    -0.8965696, ,           2.5,     -1.068865, ,            -2,     0.1325999, , 
            3,    -0.8195182, ,             3,    -0.4742206, ,             3,    -0.6468571, ,             3,    -0.9920642, ,             3,     -1.164347, ,          -1.5,    0.03804988, , 
          3.5,     -0.914971, ,           3.5,    -0.5696438, ,           3.5,    -0.7423076, ,           3.5,       -1.0875, ,           3.5,     -1.259743, ,            -1,   -0.05673691, , 
            4,     -1.010363, ,             4,    -0.6650593, ,             4,    -0.8377232, ,             4,     -1.182849, ,             4,     -1.355028, ,          -0.5,    -0.1517111, , 
          4.5,     -1.105666, ,           4.5,     -0.760436, ,           4.5,    -0.9330746, ,           4.5,     -1.278083, ,           4.5,     -1.450172, ,             0,    -0.2468486, , 
            5,     -1.200852, ,             5,    -0.8557465, ,             5,     -1.028335, ,             5,     -1.373175, ,             5,     -1.545149, ,           0.5,    -0.3421321, , 
          5.5,     -1.295893, ,           5.5,    -0.9509614, ,           5.5,     -1.123474, ,           5.5,     -1.468097, ,           5.5,     -1.639929, ,             1,    -0.4375763, , 
            6,     -1.390758, ,             6,     -1.046049, ,             6,     -1.218462, ,             6,     -1.562816, ,             6,     -1.734482, ,           1.5,    -0.5330486, , 
          6.5,      -1.48542, ,           6.5,     -1.140984, ,           6.5,     -1.313271, ,           6.5,     -1.657307, ,           6.5,     -1.828781, ,             2,      -0.62853, , 
            7,      -1.57985, ,             7,     -1.235741, ,             7,     -1.407876, ,             7,     -1.751541, ,             7,     -1.922796, ,           2.5,    -0.7240262, , 
          7.5,     -1.674019, ,           7.5,      -1.33029, ,           7.5,     -1.502245, ,           7.5,     -1.845489, ,           7.5,     -2.016501, ,             3,    -0.8195132, , 
            8,     -1.767905, ,             8,     -1.424609, ,             8,     -1.596357, ,             8,     -1.939127, ,             8,      -2.10987, ,           3.5,    -0.9149688, , 
          8.5,     -1.861475, ,           8.5,     -1.518664, ,           8.5,      -1.69018, ,           8.5,     -2.032424, ,           8.5,     -2.202871, ,             4,     -1.010362, , 
            9,     -1.954696, ,             9,     -1.612424, ,             9,     -1.783681, ,             9,     -2.125347, ,             9,     -2.295473, ,           4.5,     -1.105665, , 
          9.5,     -2.047545, ,           9.5,     -1.705863, ,           9.5,     -1.876835, ,           9.5,     -2.217871, ,           9.5,     -2.387651, ,             5,     -1.200852, , 
           10,     -2.139989, ,            10,     -1.798951, ,            10,     -1.969613, ,            10,     -2.309966, ,            10,     -2.479374, ,           5.5,     -1.295893, , 
         10.5,     -2.231999, ,          10.5,     -1.891656, ,          10.5,     -2.061982, ,          10.5,     -2.401602, ,          10.5,     -2.570613, ,             6,     -1.390757, , 
           11,     -2.323547, ,            11,     -1.983951, ,            11,     -2.153915, ,            11,     -2.492751, ,            11,     -2.661339, ,           6.5,     -1.485417, , 
         11.5,     -2.414607, ,          11.5,     -2.075809, ,          11.5,     -2.245385, ,          11.5,     -2.583387, ,          11.5,     -2.751527, ,             7,     -1.579846, , 
           12,     -2.505171, ,            12,     -2.167219, ,            12,     -2.336384, ,            12,     -2.673503, ,            12,     -2.841172, ,           7.5,     -1.674016, , 
         12.5,      -2.59522, ,          12.5,     -2.258165, ,          12.5,     -2.426892, ,          12.5,     -2.763081, ,          12.5,     -2.930255, ,             8,       -1.7679, , 
           13,     -2.684728, ,            13,     -2.348623, ,            13,     -2.516886, ,            13,      -2.85209, ,            13,     -3.018741, ,           8.5,     -1.861468, , 
         13.5,      -2.77364, ,          13.5,     -2.438535, ,          13.5,     -2.606309, ,          13.5,     -2.940479, ,          13.5,     -3.106584, ,             9,     -1.954688, , 
           14,     -2.861957, ,            14,     -2.527903, ,            14,     -2.695162, ,            14,     -3.028248, ,            14,     -3.193781, ,           9.5,     -2.047535, , 
         14.5,     -2.949643, ,          14.5,     -2.616688, ,          14.5,     -2.783408, ,          14.5,     -3.115362, ,          14.5,       -3.2803, ,            10,     -2.139977, , 
           15,     -3.036663, ,            15,     -2.704855, ,            15,     -2.871011, ,            15,     -3.201786, ,            15,     -3.366107, ,          10.5,     -2.231984, , 
         15.5,     -3.123044, ,          15.5,      -2.79241, ,          15.5,     -2.957989, ,          15.5,      -3.28756, ,          15.5,     -3.451262, ,            11,      -2.32353, , 
           16,     -3.209023, ,            16,     -2.879565, ,            16,     -3.044549, ,            16,     -3.372972, ,            16,     -3.536046, ,          11.5,     -2.414593, , 
         16.5,     -3.294988, ,          16.5,     -2.966758, ,          16.5,     -3.131162, ,          16.5,     -3.458265, ,          16.5,     -3.620671, ,            12,     -2.505154, , 
           17,     -3.380646, ,            17,      -3.05369, ,            17,     -3.217458, ,            17,     -3.543308, ,            17,     -3.705243, ,          12.5,     -2.595197, , 
, , , , , , , , , , , , , , ,            13,     -2.684695, , 
, , , , , , , , , , , , , , ,          13.5,     -2.773615, , 
, , , , , , , , , , , , , , ,            14,     -2.861935, , 
, , , , , , , , , , , , , , ,          14.5,     -2.949611, , 
, , , , , , , , , , , , , , ,            15,     -3.036622, , 
, , , , , , , , , , , , , , ,          15.5,     -3.122989, , 
, , , , , , , , , , , , , , ,            16,     -3.208917, , 
, , , , , , , , , , , , , , ,          16.5,      -3.29481, , 
, , , , , , , , , , , , , , ,            17,     -3.380302, , 

