Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , 
         -3.5,  -0.009226092, ,            -5,  -0.004523253, ,            -6,  1.899994e-16, ,            -5,   0.004523253, ,          -3.5,   0.009226092, , 
           -3,  -0.009320229, ,          -4.5,  -0.004574726, ,          -5.5,  1.689961e-16, ,          -4.5,   0.004574726, ,            -3,   0.009320229, , 
         -2.5,  -0.009413351, ,            -4,  -0.004625795, ,            -5,  1.458289e-16, ,            -4,   0.004625795, ,          -2.5,   0.009413351, , 
           -2,   -0.00950543, ,          -3.5,  -0.004676446, ,          -4.5,   1.23729e-16, ,          -3.5,   0.004676446, ,            -2,    0.00950543, , 
         -1.5,  -0.009596436, ,            -3,  -0.004726663, ,            -4,  1.019575e-16, ,            -3,   0.004726663, ,          -1.5,   0.009596436, , 
           -1,  -0.009686343, ,          -2.5,   -0.00477643, ,          -3.5,  8.104789e-17, ,          -2.5,    0.00477643, ,            -1,   0.009686343, , 
         -0.5,  -0.009775124, ,            -2,  -0.004825733, ,            -3,     6.007e-17, ,            -2,   0.004825733, ,          -0.5,   0.009775124, , 
            0,   -0.00986275, ,          -1.5,  -0.004874556, ,          -2.5,  3.829555e-17, ,          -1.5,   0.004874556, ,             0,    0.00986275, , 
          0.5,  -0.009949196, ,            -1,  -0.004922885, ,            -2,  1.864179e-17, ,            -1,   0.004922885, ,           0.5,   0.009949196, , 
            1,   -0.01003443, ,          -0.5,  -0.004970704, ,          -1.5, -2.251954e-18, ,          -0.5,   0.004970704, ,             1,    0.01003443, , 
          1.5,   -0.01011844, ,             0,     -0.005018, ,            -1, -2.260381e-17, ,             0,      0.005018, ,           1.5,    0.01011844, , 
            2,   -0.01020119, ,           0.5,  -0.005064758, ,          -0.5, -4.273911e-17, ,           0.5,   0.005064758, ,             2,    0.01020119, , 
          2.5,   -0.01028265, ,             1,  -0.005110963, ,             0, -6.143478e-17, ,             1,   0.005110963, ,           2.5,    0.01028265, , 
            3,   -0.01036281, ,           1.5,  -0.005156601, ,           0.5, -8.283493e-17, ,           1.5,   0.005156601, ,             3,    0.01036281, , 
          3.5,   -0.01044163, ,             2,   -0.00520166, ,             1, -1.053505e-16, ,             2,    0.00520166, ,           3.5,    0.01044163, , 
            4,    -0.0105191, ,           2.5,  -0.005246124, ,           1.5, -1.233047e-16, ,           2.5,   0.005246124, ,             4,     0.0105191, , 
          4.5,   -0.01059518, ,             3,   -0.00528998, ,             2, -1.431137e-16, ,             3,    0.00528998, ,           4.5,    0.01059518, , 
            5,   -0.01066986, ,           3.5,  -0.005333216, ,           2.5, -1.615251e-16, ,           3.5,   0.005333216, ,             5,    0.01066986, , 
          5.5,   -0.01074312, ,             4,  -0.005375817, ,             3, -1.823906e-16, ,             4,   0.005375817, ,           5.5,    0.01074312, , 
            6,   -0.01081492, ,           4.5,  -0.005417771, ,           3.5, -1.917836e-16, ,           4.5,   0.005417771, ,             6,    0.01081492, , 
          6.5,   -0.01088526, ,             5,  -0.005459065, ,             4, -2.158836e-16, ,             5,   0.005459065, ,           6.5,    0.01088526, , 
            7,    -0.0109541, ,           5.5,  -0.005499687, ,           4.5, -2.369534e-16, ,           5.5,   0.005499687, ,             7,     0.0109541, , 
          7.5,   -0.01102143, ,             6,  -0.005539623, ,             5, -2.609057e-16, ,             6,   0.005539623, ,           7.5,    0.01102143, , 
            8,   -0.01108723, ,           6.5,  -0.005578863, ,           5.5, -2.796813e-16, ,           6.5,   0.005578863, ,             8,    0.01108723, , 
          8.5,   -0.01115147, ,             7,  -0.005617394, ,             6,  -2.96185e-16, ,             7,   0.005617394, ,           8.5,    0.01115147, , 
            9,   -0.01121414, ,           7.5,  -0.005655204, ,           6.5,  -3.09918e-16, ,           7.5,   0.005655204, ,             9,    0.01121414, , 
          9.5,   -0.01127522, ,             8,  -0.005692281, ,             7, -3.233397e-16, ,             8,   0.005692281, ,           9.5,    0.01127522, , 
           10,   -0.01133469, ,           8.5,  -0.005728615, ,           7.5, -3.314034e-16, ,           8.5,   0.005728615, ,            10,    0.01133469, , 
         10.5,   -0.01139253, ,             9,  -0.005764195, ,             8, -3.670925e-16, ,             9,   0.005764195, ,          10.5,    0.01139253, , 
           11,   -0.01144872, ,           9.5,  -0.005799009, ,           8.5, -3.864613e-16, ,           9.5,   0.005799009, ,            11,    0.01144872, , 
         11.5,   -0.01150325, ,            10,  -0.005833047, ,             9,  -3.84589e-16, ,            10,   0.005833047, ,          11.5,    0.01150325, , 
           12,    -0.0115561, ,          10.5,  -0.005866298, ,           9.5, -4.136935e-16, ,          10.5,   0.005866298, ,            12,     0.0115561, , 
, , ,            11,  -0.005898753, ,            10, -4.198207e-16, ,            11,   0.005898753, , , , , 
, , ,          11.5,  -0.005930401, ,          10.5, -4.415663e-16, ,          11.5,   0.005930401, , , , , 
, , ,            12,  -0.005961234, ,            11, -4.360357e-16, ,            12,   0.005961234, , , , , 
, , , , , ,          11.5,  -4.75967e-16, , , , , , , , 
, , , , , ,            12, -4.757048e-16, , , , , , , , 

