Alpha,-0.5, , Alpha,-1, , Alpha,-1.5, , Alpha,-2, , Alpha,-2.5, , Alpha,-3, , Alpha,-3.5, , Alpha,-4, , Alpha,-4.5, , Alpha,-5, , Alpha,0, , Alpha,0.5, , Alpha,1, , Alpha,1.5, , Alpha,2, , Alpha,2.5, , Alpha,3, , Alpha,3.5, , Alpha,4, , Alpha,4.5, , Alpha,5, , 
           -6,   0.002517923, ,            -6,   0.005035905, ,            -6,   0.007554006, ,            -6,    0.01007229, ,            -6,    0.01259081, ,            -6,    0.01510962, ,            -6,     0.0176288, ,            -6,    0.02014839, ,            -6,    0.02266846, ,            -6,    0.02518907, ,            -6,  1.475844e-16, ,            -6,  -0.002517923, ,            -6,  -0.005035905, ,            -6,  -0.007554006, ,            -6,   -0.01007229, ,            -6,   -0.01259081, ,            -6,   -0.01510962, ,            -6,    -0.0176288, ,            -6,   -0.02014839, ,            -6,   -0.02266846, ,            -6,   -0.02518907, , 
         -5.5,   0.002538526, ,          -5.5,   0.005077105, ,          -5.5,    0.00761579, ,          -5.5,    0.01015463, ,          -5.5,    0.01269369, ,          -5.5,    0.01523301, ,          -5.5,    0.01777265, ,          -5.5,    0.02031267, ,          -5.5,     0.0228531, ,          -5.5,    0.02539402, ,          -5.5,  1.303011e-16, ,          -5.5,  -0.002538526, ,          -5.5,  -0.005077105, ,          -5.5,   -0.00761579, ,          -5.5,   -0.01015463, ,          -5.5,   -0.01269369, ,          -5.5,   -0.01523301, ,          -5.5,   -0.01777265, ,          -5.5,   -0.02031267, ,          -5.5,    -0.0228531, ,          -5.5,   -0.02539402, , 
           -5,   0.002557585, ,            -5,   0.005115217, ,            -5,   0.007672943, ,            -5,    0.01023081, ,            -5,    0.01278887, ,            -5,    0.01534716, ,            -5,    0.01790573, ,            -5,    0.02046463, ,            -5,    0.02302391, ,            -5,    0.02558362, ,            -5,  1.078098e-16, ,            -5,  -0.002557585, ,            -5,  -0.005115217, ,            -5,  -0.007672943, ,            -5,   -0.01023081, ,            -5,   -0.01278887, ,            -5,   -0.01534716, ,            -5,   -0.01790573, ,            -5,   -0.02046463, ,            -5,   -0.02302391, ,            -5,   -0.02558362, , 
         -4.5,   0.002575096, ,          -4.5,   0.005150235, ,          -4.5,   0.007725456, ,          -4.5,     0.0103008, ,          -4.5,    0.01287632, ,          -4.5,    0.01545204, ,          -4.5,    0.01802801, ,          -4.5,    0.02060428, ,          -4.5,    0.02318088, ,          -4.5,    0.02575785, ,          -4.5,  8.970326e-17, ,          -4.5,  -0.002575096, ,          -4.5,  -0.005150235, ,          -4.5,  -0.007725456, ,          -4.5,    -0.0103008, ,          -4.5,   -0.01287632, ,          -4.5,   -0.01545204, ,          -4.5,   -0.01802801, ,          -4.5,   -0.02060428, ,          -4.5,   -0.02318088, ,          -4.5,   -0.02575785, , 
           -4,   0.002591058, ,            -4,   0.005182153, ,            -4,   0.007773322, ,            -4,     0.0103646, ,            -4,    0.01295603, ,            -4,    0.01554764, ,            -4,    0.01813948, ,            -4,    0.02073157, ,            -4,    0.02332396, ,            -4,    0.02591669, ,            -4,  7.001153e-17, ,            -4,  -0.002591058, ,            -4,  -0.005182153, ,            -4,  -0.007773322, ,            -4,    -0.0103646, ,            -4,   -0.01295603, ,            -4,   -0.01554764, ,            -4,   -0.01813948, ,            -4,   -0.02073157, ,            -4,   -0.02332396, ,            -4,   -0.02591669, , 
         -3.5,   0.002605468, ,          -3.5,   0.005210968, ,          -3.5,   0.007816534, ,          -3.5,     0.0104222, ,          -3.5,    0.01302799, ,          -3.5,    0.01563395, ,          -3.5,    0.01824011, ,          -3.5,     0.0208465, ,          -3.5,    0.02345315, ,          -3.5,     0.0260601, ,          -3.5,  5.048137e-17, ,          -3.5,  -0.002605468, ,          -3.5,  -0.005210968, ,          -3.5,  -0.007816534, ,          -3.5,    -0.0104222, ,          -3.5,   -0.01302799, ,          -3.5,   -0.01563395, ,          -3.5,   -0.01824011, ,          -3.5,    -0.0208465, ,          -3.5,   -0.02345315, ,          -3.5,    -0.0260601, , 
           -3,   0.002618323, ,            -3,   0.005236676, ,            -3,   0.007855087, ,            -3,    0.01047359, ,            -3,     0.0130922, ,            -3,    0.01571096, ,            -3,     0.0183299, ,            -3,    0.02094905, ,            -3,    0.02356843, ,            -3,    0.02618808, ,            -3,   2.96098e-17, ,            -3,  -0.002618323, ,            -3,  -0.005236676, ,            -3,  -0.007855087, ,            -3,   -0.01047359, ,            -3,    -0.0130922, ,            -3,   -0.01571096, ,            -3,    -0.0183299, ,            -3,   -0.02094905, ,            -3,   -0.02356843, ,            -3,   -0.02618808, , 
         -2.5,   0.002629623, ,          -2.5,   0.005259272, ,          -2.5,   0.007888973, ,          -2.5,    0.01051875, ,          -2.5,    0.01314864, ,          -2.5,    0.01577866, ,          -2.5,    0.01840883, ,          -2.5,     0.0210392, ,          -2.5,    0.02366977, ,          -2.5,    0.02630059, ,          -2.5,  9.409081e-18, ,          -2.5,  -0.002629623, ,          -2.5,  -0.005259272, ,          -2.5,  -0.007888973, ,          -2.5,   -0.01051875, ,          -2.5,   -0.01314864, ,          -2.5,   -0.01577866, ,          -2.5,   -0.01840883, ,          -2.5,    -0.0210392, ,          -2.5,   -0.02366977, ,          -2.5,   -0.02630059, , 
           -2,   0.002639365, ,            -2,   0.005278753, ,            -2,   0.007918189, ,            -2,     0.0105577, ,            -2,     0.0131973, ,            -2,    0.01583702, ,            -2,    0.01847689, ,            -2,    0.02111693, ,            -2,    0.02375717, ,            -2,    0.02639763, ,            -2, -1.002956e-17, ,            -2,  -0.002639365, ,            -2,  -0.005278753, ,            -2,  -0.007918189, ,            -2,    -0.0105577, ,            -2,    -0.0131973, ,            -2,   -0.01583702, ,            -2,   -0.01847689, ,            -2,   -0.02111693, ,            -2,   -0.02375717, ,            -2,   -0.02639763, , 
         -1.5,   0.002647548, ,          -1.5,   0.005295117, ,          -1.5,    0.00794273, ,          -1.5,    0.01059041, ,          -1.5,    0.01323818, ,          -1.5,    0.01588606, ,          -1.5,    0.01853407, ,          -1.5,    0.02118225, ,          -1.5,    0.02383061, ,          -1.5,    0.02647917, ,          -1.5, -2.966746e-17, ,          -1.5,  -0.002647548, ,          -1.5,  -0.005295117, ,          -1.5,   -0.00794273, ,          -1.5,   -0.01059041, ,          -1.5,   -0.01323818, ,          -1.5,   -0.01588606, ,          -1.5,   -0.01853407, ,          -1.5,   -0.02118225, ,          -1.5,   -0.02383061, ,          -1.5,   -0.02647917, , 
