Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , 
           -6,   -0.02447322, ,            -6,   -0.01237791, ,            -6,  1.475844e-16, ,            -6,    0.01237791, ,            -6,    0.02447322, , 
         -5.5,    -0.0245684, ,          -5.5,   -0.01242616, ,          -5.5,  1.303011e-16, ,          -5.5,    0.01242616, ,          -5.5,     0.0245684, , 
           -5,   -0.02465996, ,            -5,   -0.01247258, ,            -5,  1.078098e-16, ,            -5,    0.01247258, ,            -5,    0.02465996, , 
         -4.5,   -0.02474788, ,          -4.5,   -0.01251716, ,          -4.5,  8.970326e-17, ,          -4.5,    0.01251716, ,          -4.5,    0.02474788, , 
           -4,   -0.02483213, ,            -4,   -0.01255988, ,            -4,  7.001153e-17, ,            -4,    0.01255988, ,            -4,    0.02483213, , 
         -3.5,   -0.02491268, ,          -3.5,   -0.01260074, ,          -3.5,  5.048137e-17, ,          -3.5,    0.01260074, ,          -3.5,    0.02491268, , 
           -3,   -0.02498951, ,            -3,   -0.01263971, ,            -3,   2.96098e-17, ,            -3,    0.01263971, ,            -3,    0.02498951, , 
         -2.5,   -0.02506259, ,          -2.5,   -0.01267678, ,          -2.5,  9.409081e-18, ,          -2.5,    0.01267678, ,          -2.5,    0.02506259, , 
           -2,    -0.0251319, ,            -2,   -0.01271196, ,            -2, -1.002956e-17, ,            -2,    0.01271196, ,            -2,     0.0251319, , 
         -1.5,   -0.02519743, ,          -1.5,   -0.01274521, ,          -1.5, -2.966746e-17, ,          -1.5,    0.01274521, ,          -1.5,    0.02519743, , 
           -1,   -0.02525915, ,            -1,   -0.01277654, ,            -1, -4.907067e-17, ,            -1,    0.01277654, ,            -1,    0.02525915, , 
         -0.5,   -0.02531705, ,          -0.5,   -0.01280594, ,          -0.5, -6.779439e-17, ,          -0.5,    0.01280594, ,          -0.5,    0.02531705, , 
            0,   -0.02537109, ,             0,   -0.01283339, ,             0,  -8.91136e-17, ,             0,    0.01283339, ,             0,    0.02537109, , 
          0.5,   -0.02542128, ,           0.5,   -0.01285889, ,           0.5, -1.073022e-16, ,           0.5,    0.01285889, ,           0.5,    0.02542128, , 
            1,   -0.02546759, ,             1,   -0.01288243, ,             1, -1.247913e-16, ,             1,    0.01288243, ,             1,    0.02546759, , 
          1.5,   -0.02551001, ,           1.5,     -0.012904, ,           1.5, -1.445132e-16, ,           1.5,      0.012904, ,           1.5,    0.02551001, , 
            2,   -0.02554853, ,             2,   -0.01292359, ,             2, -1.705067e-16, ,             2,    0.01292359, ,             2,    0.02554853, , 
          2.5,   -0.02558313, ,           2.5,   -0.01294121, ,           2.5, -1.869248e-16, ,           2.5,    0.01294121, ,           2.5,    0.02558313, , 
            3,   -0.02561381, ,             3,   -0.01295684, ,             3, -2.028071e-16, ,             3,    0.01295684, ,             3,    0.02561381, , 
          3.5,   -0.02564055, ,           3.5,   -0.01297048, ,           3.5,  -2.20785e-16, ,           3.5,    0.01297048, ,           3.5,    0.02564055, , 
            4,   -0.02566335, ,             4,   -0.01298213, ,             4, -2.436195e-16, ,             4,    0.01298213, ,             4,    0.02566335, , 
          4.5,    -0.0256822, ,           4.5,   -0.01299178, ,           4.5, -2.574373e-16, ,           4.5,    0.01299178, ,           4.5,     0.0256822, , 
            5,   -0.02569709, ,             5,   -0.01299942, ,             5, -2.863647e-16, ,             5,    0.01299942, ,             5,    0.02569709, , 
          5.5,   -0.02570802, ,           5.5,   -0.01300507, ,           5.5, -2.972958e-16, ,           5.5,    0.01300507, ,           5.5,    0.02570802, , 
            6,   -0.02571499, ,             6,   -0.01300871, ,             6, -3.195284e-16, ,             6,    0.01300871, ,             6,    0.02571499, , 
          6.5,   -0.02571799, ,           6.5,   -0.01301034, ,           6.5, -3.309139e-16, ,           6.5,    0.01301034, ,           6.5,    0.02571799, , 
            7,   -0.02571703, ,             7,   -0.01300997, ,             7, -3.541757e-16, ,             7,    0.01300997, ,             7,    0.02571703, , 
          7.5,    -0.0257121, ,           7.5,   -0.01300759, ,           7.5, -3.734072e-16, ,           7.5,    0.01300759, ,           7.5,     0.0257121, , 
            8,    -0.0257032, ,             8,    -0.0130032, ,             8, -3.917324e-16, ,             8,     0.0130032, ,             8,     0.0257032, , 
          8.5,   -0.02569034, ,           8.5,   -0.01299681, ,           8.5, -4.012679e-16, ,           8.5,    0.01299681, ,           8.5,    0.02569034, , 
            9,   -0.02567353, ,             9,   -0.01298842, ,             9, -4.164576e-16, ,             9,    0.01298842, ,             9,    0.02567353, , 
          9.5,   -0.02565276, ,           9.5,   -0.01297803, ,           9.5, -4.425103e-16, ,           9.5,    0.01297803, ,           9.5,    0.02565276, , 
           10,   -0.02562804, ,            10,   -0.01296564, ,            10, -4.524471e-16, ,            10,    0.01296564, ,            10,    0.02562804, , 
         10.5,   -0.02559939, ,          10.5,   -0.01295126, ,          10.5, -4.749683e-16, ,          10.5,    0.01295126, ,          10.5,    0.02559939, , 
           11,    -0.0255668, ,            11,   -0.01293489, ,            11, -4.751718e-16, ,            11,    0.01293489, ,            11,     0.0255668, , 
         11.5,    -0.0255303, ,          11.5,   -0.01291653, ,          11.5, -5.088547e-16, ,          11.5,    0.01291653, ,          11.5,     0.0255303, , 
           12,   -0.02548988, ,            12,    -0.0128962, ,            12, -5.095524e-16, ,            12,     0.0128962, ,            12,    0.02548988, , 

