Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , 
         -3.5,   -0.04596249, ,            -5,   -0.02329189, ,            -6,  7.839154e-16, ,            -5,    0.02329189, ,          -3.5,    0.04596249, , 
           -3,   -0.04597009, ,          -4.5,   -0.02330243, ,          -5.5,  6.953652e-16, ,          -4.5,    0.02330243, ,            -3,    0.04597009, , 
         -2.5,   -0.04597387, ,            -4,   -0.02331103, ,            -5,  6.247731e-16, ,            -4,    0.02331103, ,          -2.5,    0.04597387, , 
           -2,   -0.04597385, ,          -3.5,   -0.02331769, ,          -4.5,  5.420116e-16, ,          -3.5,    0.02331769, ,            -2,    0.04597385, , 
         -1.5,   -0.04597002, ,            -3,   -0.02332242, ,            -4,  4.588663e-16, ,            -3,    0.02332242, ,          -1.5,    0.04597002, , 
           -1,    -0.0459624, ,          -2.5,   -0.02332521, ,          -3.5,  3.805354e-16, ,          -2.5,    0.02332521, ,            -1,     0.0459624, , 
         -0.5,   -0.04595099, ,            -2,   -0.02332607, ,            -3,  3.012769e-16, ,            -2,    0.02332607, ,          -0.5,    0.04595099, , 
            0,    -0.0459358, ,          -1.5,     -0.023325, ,          -2.5,  2.233037e-16, ,          -1.5,      0.023325, ,             0,     0.0459358, , 
          0.5,   -0.04591682, ,            -1,     -0.023322, ,            -2,   1.46089e-16, ,            -1,      0.023322, ,           0.5,    0.04591682, , 
            1,   -0.04589409, ,          -0.5,   -0.02331708, ,          -1.5,  6.876902e-17, ,          -0.5,    0.02331708, ,             1,    0.04589409, , 
          1.5,   -0.04586759, ,             0,   -0.02331023, ,            -1, -1.209131e-17, ,             0,    0.02331023, ,           1.5,    0.04586759, , 
            2,   -0.04583733, ,           0.5,   -0.02330147, ,          -0.5, -8.682913e-17, ,           0.5,    0.02330147, ,             2,    0.04583733, , 
          2.5,   -0.04580334, ,             1,    -0.0232908, ,             0, -1.660975e-16, ,             1,     0.0232908, ,           2.5,    0.04580334, , 
            3,   -0.04576561, ,           1.5,   -0.02327822, ,           0.5, -2.462429e-16, ,           1.5,    0.02327822, ,             3,    0.04576561, , 
          3.5,   -0.04572416, ,             2,   -0.02326373, ,             1, -3.210248e-16, ,             2,    0.02326373, ,           3.5,    0.04572416, , 
            4,     -0.045679, ,           2.5,   -0.02324734, ,           1.5, -4.106091e-16, ,           2.5,    0.02324734, ,             4,      0.045679, , 
          4.5,   -0.04563013, ,             3,   -0.02322905, ,             2, -4.765432e-16, ,             3,    0.02322905, ,           4.5,    0.04563013, , 
            5,   -0.04557758, ,           3.5,   -0.02320888, ,           2.5, -5.661929e-16, ,           3.5,    0.02320888, ,             5,    0.04557758, , 
          5.5,   -0.04552134, ,             4,   -0.02318681, ,             3, -6.450758e-16, ,             4,    0.02318681, ,           5.5,    0.04552134, , 
            6,   -0.04546144, ,           4.5,   -0.02316287, ,           3.5, -7.327238e-16, ,           4.5,    0.02316287, ,             6,    0.04546144, , 
          6.5,   -0.04539788, ,             5,   -0.02313705, ,             4, -7.985885e-16, ,             5,    0.02313705, ,           6.5,    0.04539788, , 
            7,   -0.04533068, ,           5.5,   -0.02310936, ,           4.5, -8.729878e-16, ,           5.5,    0.02310936, ,             7,    0.04533068, , 
          7.5,   -0.04525985, ,             6,   -0.02307981, ,             5, -9.328466e-16, ,             6,    0.02307981, ,           7.5,    0.04525985, , 
            8,    -0.0451854, ,           6.5,   -0.02304841, ,           5.5, -1.028707e-15, ,           6.5,    0.02304841, ,             8,     0.0451854, , 
          8.5,   -0.04510736, ,             7,   -0.02301515, ,             6, -1.108216e-15, ,             7,    0.02301515, ,           8.5,    0.04510736, , 
            9,   -0.04502573, ,           7.5,   -0.02298005, ,           6.5, -1.180311e-15, ,           7.5,    0.02298005, ,             9,    0.04502573, , 
          9.5,   -0.04494053, ,             8,   -0.02294311, ,             7, -1.275117e-15, ,             8,    0.02294311, ,           9.5,    0.04494053, , 
           10,   -0.04485177, ,           8.5,   -0.02290434, ,           7.5, -1.338739e-15, ,           8.5,    0.02290434, ,            10,    0.04485177, , 
         10.5,   -0.04475947, ,             9,   -0.02286375, ,             8, -1.451689e-15, ,             9,    0.02286375, ,          10.5,    0.04475947, , 
           11,   -0.04466365, ,           9.5,   -0.02282135, ,           8.5, -1.509571e-15, ,           9.5,    0.02282135, ,            11,    0.04466365, , 
         11.5,   -0.04456432, ,            10,   -0.02277713, ,             9, -1.589273e-15, ,            10,    0.02277713, ,          11.5,    0.04456432, , 
           12,    -0.0444615, ,          10.5,   -0.02273112, ,           9.5, -1.649423e-15, ,          10.5,    0.02273112, ,            12,     0.0444615, , 
, , ,            11,   -0.02268332, ,            10, -1.757434e-15, ,            11,    0.02268332, , , , , 
, , ,          11.5,   -0.02263373, ,          10.5, -1.864842e-15, ,          11.5,    0.02263373, , , , , 
, , ,            12,   -0.02258237, ,            11, -1.929349e-15, ,            12,    0.02258237, , , , , 
, , , , , ,          11.5, -1.945559e-15, , , , , , , , 
, , , , , ,            12, -2.056853e-15, , , , , , , , 

