Alpha,-0.5, , Alpha,-1, , Alpha,-1.5, , Alpha,-2, , Alpha,-2.5, , Alpha,-3, , Alpha,-3.5, , Alpha,-4, , Alpha,-4.5, , Alpha,-5, , Alpha,0, , Alpha,0.5, , Alpha,1, , Alpha,1.5, , Alpha,2, , Alpha,2.5, , Alpha,3, , Alpha,3.5, , Alpha,4, , Alpha,4.5, , Alpha,5, , 
           -6,  0.0004520309, ,            -6,  0.0009041654, ,            -6,   0.001356507, ,            -6,    0.00180916, ,            -6,   0.002262228, ,            -6,   0.002715816, ,            -6,   0.003170028, ,            -6,    0.00362497, ,            -6,   0.004080748, ,            -6,   0.004537469, ,            -6,  7.229444e-16, ,            -6, -0.0004520309, ,            -6, -0.0009041654, ,            -6,  -0.001356507, ,            -6,   -0.00180916, ,            -6,  -0.002262228, ,            -6,  -0.002715816, ,            -6,  -0.003170028, ,            -6,   -0.00362497, ,            -6,  -0.004080748, ,            -6,  -0.004537469, , 
         -5.5,  0.0005042513, ,          -5.5,   0.001008572, ,          -5.5,   0.001513033, ,          -5.5,   0.002017704, ,          -5.5,   0.002522656, ,          -5.5,   0.003027959, ,          -5.5,   0.003533685, ,          -5.5,   0.004039907, ,          -5.5,   0.004546698, ,          -5.5,   0.005054131, ,          -5.5,  6.443975e-16, ,          -5.5, -0.0005042513, ,          -5.5,  -0.001008572, ,          -5.5,  -0.001513033, ,          -5.5,  -0.002017704, ,          -5.5,  -0.002522656, ,          -5.5,  -0.003027959, ,          -5.5,  -0.003533685, ,          -5.5,  -0.004039907, ,          -5.5,  -0.004546698, ,          -5.5,  -0.005054131, , 
           -5,  0.0005575218, ,            -5,   0.001115079, ,            -5,   0.001672707, ,            -5,   0.002230442, ,            -5,    0.00278832, ,            -5,   0.003346378, ,            -5,   0.003904654, ,            -5,   0.004463187, ,            -5,   0.005022015, ,            -5,   0.005581179, ,            -5,  5.564894e-16, ,            -5, -0.0005575218, ,            -5,  -0.001115079, ,            -5,  -0.001672707, ,            -5,  -0.002230442, ,            -5,   -0.00278832, ,            -5,  -0.003346378, ,            -5,  -0.003904654, ,            -5,  -0.004463187, ,            -5,  -0.005022015, ,            -5,  -0.005581179, , 
         -4.5,  0.0006117581, ,          -4.5,   0.001223516, ,          -4.5,   0.001835275, ,          -4.5,   0.002447036, ,          -4.5,     0.0030588, ,          -4.5,   0.003670569, ,          -4.5,   0.004282346, ,          -4.5,   0.004894136, ,          -4.5,   0.005505943, ,          -4.5,   0.006117775, ,          -4.5,  4.703508e-16, ,          -4.5, -0.0006117581, ,          -4.5,  -0.001223516, ,          -4.5,  -0.001835275, ,          -4.5,  -0.002447036, ,          -4.5,    -0.0030588, ,          -4.5,  -0.003670569, ,          -4.5,  -0.004282346, ,          -4.5,  -0.004894136, ,          -4.5,  -0.005505943, ,          -4.5,  -0.006117775, , 
           -4,  0.0006668749, ,            -4,   0.001333714, ,            -4,   0.002000483, ,            -4,   0.002667146, ,            -4,    0.00333367, ,            -4,   0.004000021, ,            -4,   0.004666167, ,            -4,   0.005332077, ,            -4,   0.005997722, ,            -4,   0.006663073, ,            -4,  3.882713e-16, ,            -4, -0.0006668749, ,            -4,  -0.001333714, ,            -4,  -0.002000483, ,            -4,  -0.002667146, ,            -4,   -0.00333367, ,            -4,  -0.004000021, ,            -4,  -0.004666167, ,            -4,  -0.005332077, ,            -4,  -0.005997722, ,            -4,  -0.006663073, , 
         -3.5,  0.0007227866, ,          -3.5,   0.001445501, ,          -3.5,   0.002168073, ,          -3.5,    0.00289043, ,          -3.5,   0.003612503, ,          -3.5,   0.004334222, ,          -3.5,    0.00505552, ,          -3.5,   0.005776329, ,          -3.5,   0.006496585, ,          -3.5,   0.007216225, ,          -3.5,  3.028331e-16, ,          -3.5, -0.0007227866, ,          -3.5,  -0.001445501, ,          -3.5,  -0.002168073, ,          -3.5,   -0.00289043, ,          -3.5,  -0.003612503, ,          -3.5,  -0.004334222, ,          -3.5,   -0.00505552, ,          -3.5,  -0.005776329, ,          -3.5,  -0.006496585, ,          -3.5,  -0.007216225, , 
           -3,   0.000779407, ,            -3,   0.001558705, ,            -3,   0.002337787, ,            -3,   0.003116544, ,            -3,   0.003894869, ,            -3,   0.004672657, ,            -3,   0.005449804, ,            -3,   0.006226206, ,            -3,   0.007001762, ,            -3,   0.007776375, ,            -3,  2.213292e-16, ,            -3,  -0.000779407, ,            -3,  -0.001558705, ,            -3,  -0.002337787, ,            -3,  -0.003116544, ,            -3,  -0.003894869, ,            -3,  -0.004672657, ,            -3,  -0.005449804, ,            -3,  -0.006226206, ,            -3,  -0.007001762, ,            -3,  -0.007776375, , 
         -2.5,  0.0008366496, ,          -2.5,   0.001673153, ,          -2.5,   0.002509365, ,          -2.5,   0.003345141, ,          -2.5,   0.004180336, ,          -2.5,   0.005014808, ,          -2.5,   0.005848415, ,          -2.5,   0.006681019, ,          -2.5,   0.007512481, ,          -2.5,   0.008342667, ,          -2.5,  1.432376e-16, ,          -2.5, -0.0008366496, ,          -2.5,  -0.001673153, ,          -2.5,  -0.002509365, ,          -2.5,  -0.003345141, ,          -2.5,  -0.004180336, ,          -2.5,  -0.005014808, ,          -2.5,  -0.005848415, ,          -2.5,  -0.006681019, ,          -2.5,  -0.007512481, ,          -2.5,  -0.008342667, , 
           -2,  0.0008944272, ,            -2,   0.001788671, ,            -2,   0.002682547, ,            -2,   0.003575875, ,            -2,   0.004468471, ,            -2,   0.005360155, ,            -2,    0.00625075, ,            -2,   0.007140078, ,            -2,   0.008027965, ,            -2,    0.00891424, ,            -2,  5.930588e-17, ,            -2, -0.0008944272, ,            -2,  -0.001788671, ,            -2,  -0.002682547, ,            -2,  -0.003575875, ,            -2,  -0.004468471, ,            -2,  -0.005360155, ,            -2,   -0.00625075, ,            -2,  -0.007140078, ,            -2,  -0.008027965, ,            -2,   -0.00891424, , 
         -1.5,  0.0009526527, ,          -1.5,   0.001905084, ,          -1.5,   0.002857072, ,          -1.5,   0.003808396, ,          -1.5,   0.004758838, ,          -1.5,   0.005708178, ,          -1.5,   0.006656201, ,          -1.5,   0.007602691, ,          -1.5,   0.008547438, ,          -1.5,   0.009490232, ,          -1.5, -2.471087e-17, ,          -1.5, -0.0009526527, ,          -1.5,  -0.001905084, ,          -1.5,  -0.002857072, ,          -1.5,  -0.003808396, ,          -1.5,  -0.004758838, ,          -1.5,  -0.005708178, ,          -1.5,  -0.006656201, ,          -1.5,  -0.007602691, ,          -1.5,  -0.008547438, ,          -1.5,  -0.009490232, , 
