Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , 
           -6,  -0.004173431, ,            -6,  -0.002110855, ,            -6,  7.229444e-16, ,            -6,   0.002110855, ,            -6,   0.004173431, , 
         -5.5,    -0.0040695, ,          -5.5,  -0.002058133, ,          -5.5,  6.443975e-16, ,          -5.5,   0.002058133, ,          -5.5,     0.0040695, , 
           -5,  -0.003963484, ,            -5,  -0.002004354, ,            -5,  5.564894e-16, ,            -5,   0.002004354, ,            -5,   0.003963484, , 
         -4.5,  -0.003855434, ,          -4.5,  -0.001949546, ,          -4.5,  4.703508e-16, ,          -4.5,   0.001949546, ,          -4.5,   0.003855434, , 
           -4,  -0.003745405, ,            -4,  -0.001893736, ,            -4,  3.882713e-16, ,            -4,   0.001893736, ,            -4,   0.003745405, , 
         -3.5,  -0.003633453, ,          -3.5,  -0.001836951, ,          -3.5,  3.028331e-16, ,          -3.5,   0.001836951, ,          -3.5,   0.003633453, , 
           -3,  -0.003519633, ,            -3,  -0.001779222, ,            -3,  2.213292e-16, ,            -3,   0.001779222, ,            -3,   0.003519633, , 
         -2.5,  -0.003404003, ,          -2.5,  -0.001720575, ,          -2.5,  1.432376e-16, ,          -2.5,   0.001720575, ,          -2.5,   0.003404003, , 
           -2,  -0.003286622, ,            -2,  -0.001661043, ,            -2,  5.930588e-17, ,            -2,   0.001661043, ,            -2,   0.003286622, , 
         -1.5,   -0.00316755, ,          -1.5,  -0.001600655, ,          -1.5, -2.471087e-17, ,          -1.5,   0.001600655, ,          -1.5,    0.00316755, , 
           -1,  -0.003046849, ,            -1,  -0.001539441, ,            -1, -1.084436e-16, ,            -1,   0.001539441, ,            -1,   0.003046849, , 
         -0.5,   -0.00292458, ,          -0.5,  -0.001477434, ,          -0.5, -1.895006e-16, ,          -0.5,   0.001477434, ,          -0.5,    0.00292458, , 
            0,  -0.002800806, ,             0,  -0.001414666, ,             0, -2.731273e-16, ,             0,   0.001414666, ,             0,   0.002800806, , 
          0.5,  -0.002675593, ,           0.5,  -0.001351169, ,           0.5, -3.563997e-16, ,           0.5,   0.001351169, ,           0.5,   0.002675593, , 
            1,  -0.002549004, ,             1,  -0.001286977, ,             1, -4.311857e-16, ,             1,   0.001286977, ,             1,   0.002549004, , 
          1.5,  -0.002421107, ,           1.5,  -0.001222122, ,           1.5, -5.157562e-16, ,           1.5,   0.001222122, ,           1.5,   0.002421107, , 
            2,  -0.002291968, ,             2,  -0.001156639, ,             2, -6.079833e-16, ,             2,   0.001156639, ,             2,   0.002291968, , 
          2.5,  -0.002161655, ,           2.5,  -0.001090563, ,           2.5, -6.886548e-16, ,           2.5,   0.001090563, ,           2.5,   0.002161655, , 
            3,  -0.002030237, ,             3,  -0.001023927, ,             3, -7.677342e-16, ,             3,   0.001023927, ,             3,   0.002030237, , 
          3.5,  -0.001897782, ,           3.5, -0.0009567671, ,           3.5, -8.609877e-16, ,           3.5,  0.0009567671, ,           3.5,   0.001897782, , 
            4,  -0.001764361, ,             4, -0.0008891189, ,             4, -9.327435e-16, ,             4,  0.0008891189, ,             4,   0.001764361, , 
          4.5,  -0.001630044, ,           4.5,  -0.000821018, ,           4.5, -1.022391e-15, ,           4.5,   0.000821018, ,           4.5,   0.001630044, , 
            5,  -0.001494903, ,             5, -0.0007525006, ,             5, -1.085881e-15, ,             5,  0.0007525006, ,             5,   0.001494903, , 
          5.5,  -0.001359009, ,           5.5, -0.0006836029, ,           5.5, -1.172714e-15, ,           5.5,  0.0006836029, ,           5.5,   0.001359009, , 
            6,  -0.001222435, ,             6, -0.0006143617, ,             6, -1.276379e-15, ,             6,  0.0006143617, ,             6,   0.001222435, , 
