Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , 
         -3.5,   0.001487411, ,            -5,  0.0007245862, ,            -6,  2.168291e-17, ,            -5, -0.0007245862, ,          -3.5,  -0.001487411, , 
           -3,   0.001508092, ,          -4.5,  0.0007354525, ,          -5.5,   1.88326e-17, ,          -4.5, -0.0007354525, ,            -3,  -0.001508092, , 
         -2.5,   0.001533514, ,            -4,  0.0007463154, ,            -5,  1.759193e-17, ,            -4, -0.0007463154, ,          -2.5,  -0.001533514, , 
           -2,   0.001559721, ,          -3.5,  0.0007574083, ,          -4.5,  1.636443e-17, ,          -3.5, -0.0007574083, ,            -2,  -0.001559721, , 
         -1.5,   0.001577633, ,            -3,  0.0007670436, ,            -4,  1.429287e-17, ,            -3, -0.0007670436, ,          -1.5,  -0.001577633, , 
           -1,   0.001592503, ,          -2.5,  0.0007813198, ,          -3.5,  1.259065e-17, ,          -2.5, -0.0007813198, ,            -1,  -0.001592503, , 
         -0.5,   0.001602119, ,            -2,  0.0007995834, ,            -3,  1.220763e-17, ,            -2, -0.0007995834, ,          -0.5,  -0.001602119, , 
            0,     0.0016024, ,          -1.5,  0.0008102933, ,          -2.5,  9.997026e-18, ,          -1.5, -0.0008102933, ,             0,    -0.0016024, , 
          0.5,   0.001611392, ,            -1,  0.0008158166, ,            -2,  8.645183e-18, ,            -1, -0.0008158166, ,           0.5,  -0.001611392, , 
            1,   0.001635999, ,          -0.5,  0.0008241647, ,          -1.5,  7.552002e-18, ,          -0.5, -0.0008241647, ,             1,  -0.001635999, , 
          1.5,   0.001721026, ,             0,  0.0008192704, ,            -1,  5.879673e-18, ,             0, -0.0008192704, ,           1.5,  -0.001721026, , 
            2,   0.001815232, ,           0.5,  0.0007998622, ,          -0.5,  4.649684e-18, ,           0.5, -0.0007998622, ,             2,  -0.001815232, , 
          2.5,   0.001871321, ,             1,  0.0008010873, ,             0,   2.63494e-18, ,             1, -0.0008010873, ,           2.5,  -0.001871321, , 
            3,   0.001899683, ,           1.5,  0.0008611291, ,           0.5,  3.664765e-19, ,           1.5, -0.0008611291, ,             3,  -0.001899683, , 
          3.5,   0.001927259, ,             2,  0.0009052013, ,             1, -6.904674e-18, ,             2, -0.0009052013, ,           3.5,  -0.001927259, , 
            4,   0.001954566, ,           2.5,  0.0009377456, ,           1.5, -7.424878e-19, ,           2.5, -0.0009377456, ,             4,  -0.001954566, , 
          4.5,   0.001983869, ,             3,  0.0009502858, ,             2, -1.422628e-18, ,             3, -0.0009502858, ,           4.5,  -0.001983869, , 
            5,   0.002014255, ,           3.5,  0.0009621101, ,           2.5, -2.151615e-18, ,           3.5, -0.0009621101, ,             5,  -0.002014255, , 
          5.5,   0.002038135, ,             4,  0.0009721044, ,             3, -1.929578e-18, ,             4, -0.0009721044, ,           5.5,  -0.002038135, , 
            6,   0.002057187, ,           4.5,  0.0009827395, ,           3.5, -6.788193e-18, ,           4.5, -0.0009827395, ,             6,  -0.002057187, , 
          6.5,   0.002073774, ,             5,  0.0009957684, ,             4, -6.601464e-18, ,             5, -0.0009957684, ,           6.5,  -0.002073774, , 
            7,   0.002090663, ,           5.5,   0.001006729, ,           4.5,  -7.28518e-18, ,           5.5,  -0.001006729, ,             7,  -0.002090663, , 
          7.5,   0.002112834, ,             6,   0.001016556, ,             5,  -8.15747e-18, ,             6,  -0.001016556, ,           7.5,  -0.002112834, , 
            8,   0.002131946, ,           6.5,   0.001027283, ,           5.5, -1.007377e-17, ,           6.5,  -0.001027283, ,             8,  -0.002131946, , 
          8.5,    0.00214773, ,             7,   0.001038329, ,             6, -1.111586e-17, ,             7,  -0.001038329, ,           8.5,   -0.00214773, , 
            9,   0.002164228, ,           7.5,   0.001056236, ,           6.5, -1.025879e-17, ,           7.5,  -0.001056236, ,             9,  -0.002164228, , 
          9.5,   0.002180434, ,             8,   0.001068279, ,             7, -1.399681e-17, ,             8,  -0.001068279, ,           9.5,  -0.002180434, , 
           10,   0.002194112, ,           8.5,   0.001076261, ,           7.5, -1.135161e-17, ,           8.5,  -0.001076261, ,            10,  -0.002194112, , 
         10.5,   0.002207992, ,             9,    0.00108602, ,             8, -1.280581e-17, ,             9,   -0.00108602, ,          10.5,  -0.002207992, , 
           11,   0.002223855, ,           9.5,   0.001094222, ,           8.5, -1.991554e-17, ,           9.5,  -0.001094222, ,            11,  -0.002223855, , 
         11.5,   0.002256391, ,            10,   0.001100036, ,             9, -2.032296e-17, ,            10,  -0.001100036, ,          11.5,  -0.002256391, , 
           12,   0.002297734, ,          10.5,   0.001105516, ,           9.5, -1.911995e-17, ,          10.5,  -0.001105516, ,            12,  -0.002297734, , 
, , ,            11,   0.001111949, ,            10, -2.129247e-17, ,            11,  -0.001111949, , , , , 
, , ,          11.5,   0.001121571, ,          10.5, -2.692568e-17, ,          11.5,  -0.001121571, , , , , 
, , ,            12,   0.001144784, ,            11, -3.084279e-17, ,            12,  -0.001144784, , , , , 
, , , , , ,          11.5, -2.874104e-17, , , , , , , , 
, , , , , ,            12, -2.315552e-17, , , , , , , , 

