Alpha,-0.5, , Alpha,-1, , Alpha,-1.5, , Alpha,-2, , Alpha,-2.5, , Alpha,-3, , Alpha,-3.5, , Alpha,-4, , Alpha,-4.5, , Alpha,-5, , Alpha,0, , Alpha,0.5, , Alpha,1, , Alpha,1.5, , Alpha,2, , Alpha,2.5, , Alpha,3, , Alpha,3.5, , Alpha,4, , Alpha,4.5, , Alpha,5, , 
           -6,  -0.001451909, ,            -6,  -0.002903519, ,            -6,   -0.00435446, ,            -6,  -0.005804435, ,            -6,  -0.007253097, ,            -6,  -0.008700131, ,            -6,   -0.01014512, ,            -6,   -0.01158777, ,            -6,   -0.01302778, ,            -6,   -0.01446481, ,            -6,   3.09662e-17, ,            -6,   0.001451909, ,            -6,   0.002903519, ,            -6,    0.00435446, ,            -6,   0.005804435, ,            -6,   0.007253097, ,            -6,   0.008700131, ,            -6,    0.01014512, ,            -6,    0.01158777, ,            -6,    0.01302778, ,            -6,    0.01446481, , 
         -5.5,  -0.001447237, ,          -5.5,  -0.002894148, ,          -5.5,  -0.004340419, ,          -5.5,  -0.005785712, ,          -5.5,  -0.007229769, ,          -5.5,   -0.00867225, ,          -5.5,   -0.01011281, ,          -5.5,   -0.01155111, ,          -5.5,   -0.01298684, ,          -5.5,   -0.01441971, ,          -5.5,  3.076149e-17, ,          -5.5,   0.001447237, ,          -5.5,   0.002894148, ,          -5.5,   0.004340419, ,          -5.5,   0.005785712, ,          -5.5,   0.007229769, ,          -5.5,    0.00867225, ,          -5.5,    0.01011281, ,          -5.5,    0.01155111, ,          -5.5,    0.01298684, ,          -5.5,    0.01441971, , 
           -5,  -0.001443214, ,            -5,   -0.00288614, ,            -5,  -0.004328475, ,            -5,  -0.005769864, ,            -5,  -0.007210009, ,            -5,  -0.008648622, ,            -5,   -0.01008534, ,            -5,   -0.01151991, ,            -5,   -0.01295199, ,            -5,   -0.01438125, ,            -5,  2.903637e-17, ,            -5,   0.001443214, ,            -5,    0.00288614, ,            -5,   0.004328475, ,            -5,   0.005769864, ,            -5,   0.007210009, ,            -5,   0.008648622, ,            -5,    0.01008534, ,            -5,    0.01151991, ,            -5,    0.01295199, ,            -5,    0.01438125, , 
         -4.5,  -0.001440269, ,          -4.5,  -0.002880233, ,          -4.5,  -0.004319582, ,          -4.5,  -0.005758012, ,          -4.5,  -0.007195233, ,          -4.5,  -0.008630936, ,          -4.5,   -0.01006478, ,          -4.5,   -0.01149647, ,          -4.5,   -0.01292572, ,          -4.5,   -0.01435222, ,          -4.5,  2.669708e-17, ,          -4.5,   0.001440269, ,          -4.5,   0.002880233, ,          -4.5,   0.004319582, ,          -4.5,   0.005758012, ,          -4.5,   0.007195233, ,          -4.5,   0.008630936, ,          -4.5,    0.01006478, ,          -4.5,    0.01149647, ,          -4.5,    0.01292572, ,          -4.5,    0.01435222, , 
           -4,  -0.001438282, ,            -4,  -0.002876236, ,            -4,  -0.004313606, ,            -4,  -0.005750066, ,            -4,  -0.007185284, ,            -4,  -0.008618949, ,            -4,   -0.01005081, ,            -4,   -0.01148058, ,            -4,   -0.01290791, ,            -4,   -0.01433256, ,            -4,  2.451385e-17, ,            -4,   0.001438282, ,            -4,   0.002876236, ,            -4,   0.004313606, ,            -4,   0.005750066, ,            -4,   0.007185284, ,            -4,   0.008618949, ,            -4,    0.01005081, ,            -4,    0.01148058, ,            -4,    0.01290791, ,            -4,    0.01433256, , 
         -3.5,  -0.001437253, ,          -3.5,  -0.002874149, ,          -3.5,  -0.004310481, ,          -3.5,  -0.005745931, ,          -3.5,  -0.007180108, ,          -3.5,  -0.008612717, ,          -3.5,   -0.01004353, ,          -3.5,   -0.01147222, ,          -3.5,   -0.01289843, ,          -3.5,   -0.01432193, ,          -3.5,  2.350409e-17, ,          -3.5,   0.001437253, ,          -3.5,   0.002874149, ,          -3.5,   0.004310481, ,          -3.5,   0.005745931, ,          -3.5,   0.007180108, ,          -3.5,   0.008612717, ,          -3.5,    0.01004353, ,          -3.5,    0.01147222, ,          -3.5,    0.01289843, ,          -3.5,    0.01432193, , 
           -3,  -0.001436658, ,            -3,  -0.002872996, ,            -3,   -0.00430871, ,            -3,  -0.005743547, ,            -3,  -0.007177205, ,            -3,  -0.008609361, ,            -3,   -0.01003969, ,            -3,   -0.01146797, ,            -3,   -0.01289392, ,            -3,   -0.01431716, ,            -3,  2.178265e-17, ,            -3,   0.001436658, ,            -3,   0.002872996, ,            -3,    0.00430871, ,            -3,   0.005743547, ,            -3,   0.007177205, ,            -3,   0.008609361, ,            -3,    0.01003969, ,            -3,    0.01146797, ,            -3,    0.01289392, ,            -3,    0.01431716, , 
         -2.5,  -0.001436998, ,          -2.5,  -0.002873688, ,          -2.5,  -0.004309799, ,          -2.5,  -0.005745072, ,          -2.5,  -0.007179183, ,          -2.5,   -0.00861186, ,          -2.5,   -0.01004285, ,          -2.5,    -0.0114718, ,          -2.5,   -0.01289844, ,          -2.5,   -0.01432272, ,          -2.5,  1.947695e-17, ,          -2.5,   0.001436998, ,          -2.5,   0.002873688, ,          -2.5,   0.004309799, ,          -2.5,   0.005745072, ,          -2.5,   0.007179183, ,          -2.5,    0.00861186, ,          -2.5,    0.01004285, ,          -2.5,     0.0114718, ,          -2.5,    0.01289844, ,          -2.5,    0.01432272, , 
           -2,  -0.001439815, ,            -2,  -0.002879333, ,            -2,  -0.004318264, ,            -2,  -0.005756308, ,            -2,  -0.007192817, ,            -2,  -0.008627743, ,            -2,   -0.01006086, ,            -2,   -0.01149184, ,            -2,   -0.01292044, ,            -2,   -0.01434635, ,            -2,  1.800449e-17, ,            -2,   0.001439815, ,            -2,   0.002879333, ,            -2,   0.004318264, ,            -2,   0.005756308, ,            -2,   0.007192817, ,            -2,   0.008627743, ,            -2,    0.01006086, ,            -2,    0.01149184, ,            -2,    0.01292044, ,            -2,    0.01434635, , 
         -1.5,   -0.00144108, ,          -1.5,  -0.002882085, ,          -1.5,   -0.00432277, ,          -1.5,  -0.005762575, ,          -1.5,  -0.007201194, ,          -1.5,  -0.008638336, ,          -1.5,    -0.0100737, ,          -1.5,   -0.01150699, ,          -1.5,   -0.01293792, ,          -1.5,   -0.01436619, ,          -1.5,  1.600324e-17, ,          -1.5,    0.00144108, ,          -1.5,   0.002882085, ,          -1.5,    0.00432277, ,          -1.5,   0.005762575, ,          -1.5,   0.007201194, ,          -1.5,   0.008638336, ,          -1.5,     0.0100737, ,          -1.5,    0.01150699, ,          -1.5,    0.01293792, ,          -1.5,    0.01436619, , 
