Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , Alpha,T1-100.0 m/s-VLM2-proj_area, , 
           -6,    0.01418235, ,            -6,   0.007190622, ,            -6,   3.09662e-17, ,            -6,  -0.007190622, ,            -6,   -0.01418235, , 
         -5.5,    0.01428796, ,          -5.5,    0.00724405, ,          -5.5,  3.076149e-17, ,          -5.5,   -0.00724405, ,          -5.5,   -0.01428796, , 
           -5,    0.01439085, ,            -5,   0.007296165, ,            -5,  2.903637e-17, ,            -5,  -0.007296165, ,            -5,   -0.01439085, , 
         -4.5,    0.01449097, ,          -4.5,   0.007346922, ,          -4.5,  2.669708e-17, ,          -4.5,  -0.007346922, ,          -4.5,   -0.01449097, , 
           -4,    0.01458818, ,            -4,   0.007396176, ,            -4,  2.451385e-17, ,            -4,  -0.007396176, ,            -4,   -0.01458818, , 
         -3.5,    0.01468241, ,          -3.5,   0.007443866, ,          -3.5,  2.350409e-17, ,          -3.5,  -0.007443867, ,          -3.5,   -0.01468241, , 
           -3,    0.01477364, ,            -3,   0.007490028, ,            -3,  2.178265e-17, ,            -3,  -0.007490028, ,            -3,   -0.01477364, , 
         -2.5,    0.01486187, ,          -2.5,   0.007534725, ,          -2.5,  1.947695e-17, ,          -2.5,  -0.007534725, ,          -2.5,   -0.01486187, , 
           -2,    0.01494691, ,            -2,   0.007577784, ,            -2,  1.800449e-17, ,            -2,  -0.007577784, ,            -2,   -0.01494691, , 
         -1.5,    0.01502911, ,          -1.5,   0.007619413, ,          -1.5,  1.600324e-17, ,          -1.5,  -0.007619413, ,          -1.5,   -0.01502911, , 
           -1,      0.015108, ,            -1,   0.007659326, ,            -1,  1.431338e-17, ,            -1,  -0.007659326, ,            -1,     -0.015108, , 
         -0.5,    0.01518369, ,          -0.5,    0.00769767, ,          -0.5,  1.213503e-17, ,          -0.5,   -0.00769767, ,          -0.5,   -0.01518369, , 
            0,    0.01525609, ,             0,   0.007734299, ,             0,  1.056264e-17, ,             0,  -0.007734299, ,             0,   -0.01525609, , 
          0.5,    0.01532571, ,           0.5,    0.00776954, ,           0.5,  6.195127e-18, ,           0.5,   -0.00776954, ,           0.5,   -0.01532571, , 
            1,    0.01539225, ,             1,   0.007803221, ,             1, -8.631169e-19, ,             1,  -0.007803221, ,             1,   -0.01539225, , 
          1.5,    0.01545354, ,           1.5,   0.007834234, ,           1.5,  6.092808e-18, ,           1.5,  -0.007834234, ,           1.5,   -0.01545354, , 
            2,    0.01551255, ,             2,   0.007864108, ,             2,   4.27838e-18, ,             2,  -0.007864108, ,             2,   -0.01551255, , 
          2.5,    0.01556802, ,           2.5,   0.007892143, ,           2.5,  5.601831e-18, ,           2.5,  -0.007892143, ,           2.5,   -0.01556802, , 
            3,    0.01562034, ,             3,   0.007918644, ,             3,  1.024169e-18, ,             3,  -0.007918644, ,             3,   -0.01562034, , 
          3.5,    0.01566915, ,           3.5,   0.007943312, ,           3.5,  2.941721e-19, ,           3.5,  -0.007943312, ,           3.5,   -0.01566915, , 
            4,    0.01571452, ,             4,   0.007966275, ,             4, -7.043146e-19, ,             4,  -0.007966275, ,             4,   -0.01571452, , 
          4.5,    0.01575632, ,           4.5,   0.007987403, ,           4.5,   1.02113e-19, ,           4.5,  -0.007987403, ,           4.5,   -0.01575632, , 
            5,     0.0157946, ,             5,   0.008006759, ,             5, -4.772843e-18, ,             5,  -0.008006759, ,             5,    -0.0157946, , 
          5.5,    0.01582926, ,           5.5,   0.008024274, ,           5.5, -3.626241e-18, ,           5.5,  -0.008024274, ,           5.5,   -0.01582926, , 
            6,    0.01586049, ,             6,   0.008040021, ,             6, -5.218046e-18, ,             6,  -0.008040021, ,             6,   -0.01586049, , 
          6.5,    0.01588815, ,           6.5,   0.008053984, ,           6.5, -9.085594e-18, ,           6.5,  -0.008053984, ,           6.5,   -0.01588815, , 
            7,    0.01591231, ,             7,   0.008066227, ,             7, -1.403971e-17, ,             7,  -0.008066227, ,             7,   -0.01591231, , 
          7.5,    0.01593255, ,           7.5,    0.00807646, ,           7.5, -8.442503e-18, ,           7.5,   -0.00807646, ,           7.5,   -0.01593255, , 
            8,    0.01594925, ,             8,   0.008084826, ,             8,  -1.13113e-17, ,             8,  -0.008084826, ,             8,   -0.01594925, , 
          8.5,    0.01596246, ,           8.5,   0.008091446, ,           8.5, -1.267195e-17, ,           8.5,  -0.008091446, ,           8.5,   -0.01596246, , 
            9,    0.01597191, ,             9,   0.008096187, ,             9, -1.193184e-17, ,             9,  -0.008096187, ,             9,   -0.01597191, , 
          9.5,     0.0159778, ,           9.5,   0.008099134, ,           9.5, -2.668004e-17, ,           9.5,  -0.008099134, ,           9.5,    -0.0159778, , 
           10,    0.01598012, ,            10,   0.008100278, ,            10, -2.609915e-17, ,            10,  -0.008100278, ,            10,   -0.01598012, , 
         10.5,    0.01597871, ,          10.5,   0.008099498, ,          10.5, -2.553552e-17, ,          10.5,  -0.008099498, ,          10.5,   -0.01597871, , 
           11,    0.01597359, ,            11,   0.008096856, ,            11, -2.593218e-17, ,            11,  -0.008096856, ,            11,   -0.01597359, , 
         11.5,    0.01596466, ,          11.5,   0.008092233, ,          11.5, -2.606228e-17, ,          11.5,  -0.008092233, ,          11.5,   -0.01596466, , 
           12,     0.0159518, ,            12,   0.008085677, ,            12, -2.483924e-17, ,            12,  -0.008085677, ,            12,    -0.0159518, , 

