Alpha,Datum,,Alpha ,-10,,Alpha,-5,,Alpha,5,,Alpha,10
-6,0.025215,,-6,0.126637,,-6,0.065992,,-6,0.004826,,-6,0.00515
-5.5,0.022119,,-5.5,0.118467,,-5.5,0.060286,,-5.5,0.007179,,-5.5,0.007683
-5,0.01951,,-5,0.110741,,-5,0.055052,,-5,0.010065,,-5,0.010783
-4.5,0.017389,,-4.5,0.103464,,-4.5,0.050295,,-4.5,0.013485,,-4.5,0.01445
-4,0.015759,,-4,0.09664,,-4,0.046017,,-4,0.017438,,-4,0.018681
-3.5,0.014621,,-3.5,0.090273,,-3.5,0.042221,,-3.5,0.021921,,-3.5,0.023476
-3,0.013975,,-3,0.084367,,-3,0.038909,,-3,0.026935,,-3,0.028831
-2.5,0.013823,,-2.5,0.078925,,-2.5,0.036083,,-2.5,0.032475,,-2.5,0.034746
-2,0.014165,,-2,0.07395,,-2,0.033744,,-2,0.038541,,-2,0.041215
-1.5,0.015001,,-1.5,0.069444,,-1.5,0.031895,,-1.5,0.045129,,-1.5,0.048237
-1,0.01633,,-1,0.065409,,-1,0.030535,,-1,0.052235,,-1,0.055808
-0.5,0.018152,,-0.5,0.061848,,-0.5,0.029666,,-0.5,0.059857,,-0.5,0.063922
0,0.020464,,0,0.058762,,0,0.029287,,0,0.067989,,0,0.072576
0.5,0.023267,,0.5,0.056152,,0.5,0.029397,,0.5,0.076629,,0.5,0.081764
1,0.026557,,1,0.054018,,1,0.029997,,1,0.085769,,1,0.091481
1.5,0.030333,,1.5,0.052361,,1.5,0.031086,,1.5,0.095407,,1.5,0.101721
2,0.034592,,2,0.051181,,2,0.032661,,2,0.105535,,2,0.112478
2.5,0.03933,,2.5,0.050478,,2.5,0.034721,,2.5,0.116148,,2.5,0.123745
3,0.044544,,3,0.050251,,3,0.037264,,3,0.127239,,3,0.135515
3.5,0.050231,,3.5,0.050498,,3.5,0.040288,,3.5,0.138802,,3.5,0.14778
4,0.056386,,4,0.051218,,4,0.043789,,4,0.150829,,4,0.160532
4.5,0.063005,,4.5,0.05241,,4.5,0.047764,,4.5,0.163314,,4.5,0.173764
5,0.070082,,5,0.054071,,5,0.05221,,5,0.176248,,5,0.187467
5.5,0.077613,,5.5,0.056199,,5.5,0.057123,,5.5,0.189622,,5.5,0.201631
6,0.085593,,6,0.05879,,6,0.062498,,6,0.203429,,6,0.216248
6.5,0.094014,,6.5,0.061842,,6.5,0.06833,,6.5,0.21766,,6.5,0.231307
7,0.102871,,7,0.065351,,7,0.074615,,7,0.232305,,7,0.246799
7.5,0.112157,,7.5,0.069312,,7.5,0.081348,,7.5,0.247355,,7.5,0.262713
8,0.121866,,8,0.073722,,8,0.088521,,8,0.2628,,8,0.279039
8.5,0.131989,,8.5,0.078576,,8.5,0.09613,,8.5,0.27863,,8.5,0.295765
9,0.14252,,9,0.083869,,9,0.104168,,9,0.294834,,9,0.312881
9.5,0.153451,,9.5,0.089595,,9.5,0.112628,,9.5,0.311402,,9.5,0.330373
10,0.164772,,10,0.095748,,10,0.121503,,10,0.328322,,10,0.348231
10.5,0.176477,,10.5,0.102324,,10.5,0.130786,,10.5,0.345583,,10.5,0.366442
11,0.188555,,11,0.109315,,11,0.140468,,11,0.363174,,11,0.384994
11.5,0.200999,,11.5,0.116715,,11.5,0.150543,,11.5,0.381083,,11.5,0.403874
12,0.213797,,12,0.124516,,12,0.161001,,12,0.399296,,12,0.423068
12.5,0.226942,,12.5,0.132712,,12.5,0.171834,,12.5,0.417804,,12.5,0.442563
13,0.240422,,13,0.141295,,13,0.183034,,13,0.436591,,13,0.462346
13.5,0.254228,,13.5,0.150257,,13.5,0.19459,,13.5,0.455646,,13.5,0.482403
14,0.268349,,14,0.159589,,14,0.206493,,14,0.474955,,14,0.502719
14.5,0.282774,,14.5,0.169284,,14.5,0.218734,,14.5,0.494506,,14.5,0.52328
15,0.297493,,15,0.179333,,15,0.231303,,15,0.514283,,15,0.544073
15.5,0.312494,,15.5,0.189726,,15.5,0.244189,,15.5,0.534275,,15.5,0.565081
16,0.327765,,16,0.200453,,16,0.257381,,16,0.554467,,16,0.58629
16.5,0.343295,,16.5,0.211507,,16.5,0.27087,,16.5,0.574844,,16.5,0.607686
17,0.359073,,17,0.222876,,17,0.284643,,17,0.595392,,17,0.629252
