Alpha,Datum,,Alpha ,-10,,Alpha,-5,,Alpha,5,,Alpha,10
-6,-0.783402,,-6,-1.905332,,-6,-1.331182,,-6,0.3182,,-6,0.306555
-5.5,-0.700355,,-5.5,-1.823555,,-5.5,-1.248308,,-5.5,0.405589,,-5.5,0.393827
-5,-0.617173,,-5,-1.741478,,-5,-1.165218,,-5,0.492945,,-5,0.481053
-4.5,-0.533875,,-4.5,-1.659119,,-4.5,-1.081929,,-4.5,0.580246,,-4.5,0.568213
-4,-0.45048,,-4,-1.576495,,-4,-0.998461,,-4,0.667473,,-4,0.655284
-3.5,-0.367008,,-3.5,-1.493627,,-3.5,-0.914834,,-3.5,0.754605,,-3.5,0.742246
-3,-0.283478,,-3,-1.410531,,-3,-0.831065,,-3,0.841622,,-3,0.829076
-2.5,-0.199908,,-2.5,-1.327227,,-2.5,-0.747174,,-2.5,0.928502,,-2.5,0.915755
-2,-0.116319,,-2,-1.243733,,-2,-0.663181,,-2,1.015226,,-2,1.002259
-1.5,-0.03273,,-1.5,-1.160069,,-1.5,-0.579104,,-1.5,1.101772,,-1.5,1.088569
-1,0.05084,,-1,-1.076253,,-1,-0.494963,,-1,1.188122,,-1,1.174664
-0.5,0.134372,,-0.5,-0.992303,,-0.5,-0.410777,,-0.5,1.274254,,-0.5,1.260521
0,0.217847,,0,-0.908239,,0,-0.326566,,0,1.360148,,0,1.346121
0.5,0.301244,,0.5,-0.82408,,0.5,-0.242348,,0.5,1.445784,,0.5,1.431443
1,0.384546,,1,-0.739845,,1,-0.158144,,1,1.531143,,1,1.516465
1.5,0.467732,,1.5,-0.655552,,1.5,-0.073972,,1.5,1.616205,,1.5,1.601169
2,0.550784,,2,-0.571221,,2,0.010148,,2,1.700951,,2,1.685532
2.5,0.633683,,2.5,-0.486871,,2.5,0.094198,,2.5,1.78536,,2.5,1.769537
3,0.71641,,3,-0.402521,,3,0.178158,,3,1.869413,,3,1.853161
3.5,0.798945,,3.5,-0.318189,,3.5,0.262009,,3.5,1.953092,,3.5,1.936387
4,0.881271,,4,-0.233895,,4,0.345731,,4,2.036378,,4,2.019193
4.5,0.963369,,4.5,-0.149658,,4.5,0.429307,,4.5,2.119251,,4.5,2.101562
5,1.045221,,5,-0.065496,,5,0.512717,,5,2.201694,,5,2.183474
5.5,1.126807,,5.5,0.018572,,5.5,0.595943,,5.5,2.283688,,5.5,2.264909
6,1.20811,,6,0.102527,,6,0.678965,,6,2.365215,,6,2.345851
6.5,1.289112,,6.5,0.18635,,6.5,0.761766,,6.5,2.446257,,6.5,2.42628
7,1.369796,,7,0.270024,,7,0.844327,,7,2.526797,,7,2.506178
7.5,1.450142,,7.5,0.353529,,7.5,0.92663,,7.5,2.606817,,7.5,2.585527
8,1.530135,,8,0.436847,,8,1.008657,,8,2.686301,,8,2.664311
8.5,1.609756,,8.5,0.519961,,8.5,1.09039,,8.5,2.765231,,8.5,2.742512
9,1.688988,,9,0.602852,,9,1.171811,,9,2.843592,,9,2.820112
9.5,1.767815,,9.5,0.685502,,9.5,1.252903,,9.5,2.921366,,9.5,2.897096
10,1.846221,,10,0.767894,,10,1.333648,,10,2.998538,,10,2.973448
10.5,1.924187,,10.5,0.850009,,10.5,1.414029,,10.5,3.075093,,10.5,3.04915
11,2.0017,,11,0.931831,,11,1.494029,,11,3.151015,,11,3.124189
11.5,2.078741,,11.5,1.013343,,11.5,1.573632,,11.5,3.226289,,11.5,3.198548
12,2.155297,,12,1.094526,,12,1.652821,,12,3.3009,,12,3.272213
12.5,2.23135,,12.5,1.175365,,12.5,1.731579,,12.5,3.374835,,12.5,3.345169
13,2.306887,,13,1.255843,,13,1.809892,,13,3.448079,,13,3.417402
13.5,2.381893,,13.5,1.335943,,13.5,1.887742,,13.5,3.520619,,13.5,3.488899
14,2.456352,,14,1.415649,,14,1.965115,,14,3.592441,,14,3.559645
14.5,2.53025,,14.5,1.494946,,14.5,2.041994,,14.5,3.663533,,14.5,3.629629
15,2.603574,,15,1.573816,,15,2.118366,,15,3.733881,,15,3.698837
15.5,2.67631,,15.5,1.652246,,15.5,2.194215,,15.5,3.803475,,15.5,3.767257
16,2.748444,,16,1.730219,,16,2.269528,,16,3.872302,,16,3.834878
16.5,2.819963,,16.5,1.807721,,16.5,2.344289,,16.5,3.94035,,16.5,3.901687
17,2.890855,,17,1.884737,,17,2.418485,,17,4.00761,,17,3.967675
