Alpha,Datum,,Alpha ,-10,,Alpha,-5,,Alpha,5,,Alpha,10
-6,2.159677,,-6,4.709771,,-6,3.425594,,-6,-0.227519,,-6,-0.233107
-5.5,2.127332,,-5.5,4.677179,,-5.5,3.395048,,-5.5,-0.255573,,-5.5,-0.268553
-5,2.095517,,-5,4.644729,,-5,3.364843,,-5,-0.282705,,-5,-0.303063
-4.5,2.064242,,-4.5,4.612431,,-4.5,3.334987,,-4.5,-0.308907,,-4.5,-0.336627
-4,2.033515,,-4,4.580293,,-4,3.30549,,-4,-0.334172,,-4,-0.369234
-3.5,2.003347,,-3.5,4.548327,,-3.5,3.27636,,-3.5,-0.358491,,-3.5,-0.400875
-3,1.973746,,-3,4.516542,,-3,3.247607,,-3,-0.381857,,-3,-0.431539
-2.5,1.944722,,-2.5,4.484947,,-2.5,3.219239,,-2.5,-0.404262,,-2.5,-0.461218
-2,1.916283,,-2,4.453553,,-2,3.191265,,-2,-0.425701,,-2,-0.489903
-1.5,1.888439,,-1.5,4.422368,,-1.5,3.163693,,-1.5,-0.446167,,-1.5,-0.517584
-1,1.861197,,-1,4.391403,,-1,3.136532,,-1,-0.465652,,-1,-0.544253
-0.5,1.834565,,-0.5,4.360666,,-0.5,3.10979,,-0.5,-0.484152,,-0.5,-0.569903
0,1.808553,,0,4.330167,,0,3.083475,,0,-0.501661,,0,-0.594525
0.5,1.783168,,0.5,4.299916,,0.5,3.057595,,0.5,-0.518174,,0.5,-0.618111
1,1.758417,,1,4.269921,,1,3.032159,,1,-0.533684,,1,-0.640656
1.5,1.734308,,1.5,4.240192,,1.5,3.007173,,1.5,-0.548188,,1.5,-0.662151
2,1.710849,,2,4.210738,,2,2.982645,,2,-0.561682,,2,-0.68259
2.5,1.688047,,2.5,4.181567,,2.5,2.958584,,2.5,-0.574161,,2.5,-0.701968
3,1.665908,,3,4.152689,,3,2.934996,,3,-0.585621,,3,-0.720277
3.5,1.644439,,3.5,4.124112,,3.5,2.911888,,3.5,-0.596058,,3.5,-0.737513
4,1.623648,,4,4.095846,,4,2.889267,,4,-0.605471,,4,-0.753671
4.5,1.603539,,4.5,4.067898,,4.5,2.867141,,4.5,-0.613855,,4.5,-0.768745
5,1.58412,,5,4.040277,,5,2.845516,,5,-0.621209,,5,-0.78273
5.5,1.565396,,5.5,4.012993,,5.5,2.824399,,5.5,-0.627529,,5.5,-0.795623
6,1.547373,,6,3.986052,,6,2.803796,,6,-0.632815,,6,-0.80742
6.5,1.530057,,6.5,3.959463,,6.5,2.783713,,6.5,-0.637064,,6.5,-0.818116
7,1.513452,,7,3.933234,,7,2.764157,,7,-0.640275,,7,-0.82771
7.5,1.497564,,7.5,3.907374,,7.5,2.745133,,7.5,-0.642447,,7.5,-0.836197
8,1.482397,,8,3.88189,,8,2.726647,,8,-0.64358,,8,-0.843575
8.5,1.467957,,8.5,3.85679,,8.5,2.708706,,8.5,-0.643673,,8.5,-0.849843
9,1.454248,,9,3.832081,,9,2.691313,,9,-0.642726,,9,-0.854997
9.5,1.441273,,9.5,3.807771,,9.5,2.674475,,9.5,-0.64074,,9.5,-0.859037
10,1.429037,,10,3.783868,,10,2.658197,,10,-0.637715,,10,-0.861961
10.5,1.417544,,10.5,3.760379,,10.5,2.642484,,10.5,-0.633651,,10.5,-0.863769
11,1.406796,,11,3.73731,,11,2.627341,,11,-0.628551,,11,-0.864459
11.5,1.396798,,11.5,3.71467,,11.5,2.612771,,11.5,-0.622416,,11.5,-0.864032
12,1.387552,,12,3.692464,,12,2.59878,,12,-0.615247,,12,-0.862488
12.5,1.379061,,12.5,3.6707,,12.5,2.585372,,12.5,-0.607047,,12.5,-0.859827
13,1.371328,,13,3.649384,,13,2.572551,,13,-0.597818,,13,-0.85605
13.5,1.364355,,13.5,3.628523,,13.5,2.56032,,13.5,-0.587564,,13.5,-0.851158
14,1.358144,,14,3.608123,,14,2.548684,,14,-0.576286,,14,-0.845153
14.5,1.352698,,14.5,3.58819,,14.5,2.537646,,14.5,-0.56399,,14.5,-0.838037
15,1.348017,,15,3.56873,,15,2.52721,,15,-0.550678,,15,-0.829811
15.5,1.344103,,15.5,3.54975,,15.5,2.517378,,15.5,-0.536354,,15.5,-0.820478
16,1.340957,,16,3.531255,,16,2.508154,,16,-0.521023,,16,-0.810041
16.5,1.338581,,16.5,3.51325,,16.5,2.499541,,16.5,-0.50469,,16.5,-0.798504
17,1.336975,,17,3.495742,,17,2.49154,,17,-0.487359,,17,-0.785869
