Alpha,0, , Alpha,-10, , Alpha,-5, , Alpha,5, , Alpha,10
-6,0,,-6,0.039815,,-6,0.024201,,-6,-0.024201,,-6,-0.039815
-5.5,0,,-5.5,0.041,,-5.5,0.025248,,-5.5,-0.025248,,-5.5,-0.041
-5,0,,-5,0.042184,,-5,0.026297,,-5,-0.026297,,-5,-0.042184
-4.5,0,,-4.5,0.043365,,-4.5,0.027347,,-4.5,-0.027347,,-4.5,-0.043365
-4,0,,-4,0.044545,,-4,0.028398,,-4,-0.028398,,-4,-0.044545
-3.5,0,,-3.5,0.045723,,-3.5,0.029449,,-3.5,-0.029449,,-3.5,-0.045723
-3,0,,-3,0.046897,,-3,0.030501,,-3,-0.030501,,-3,-0.046897
-2.5,0,,-2.5,0.048069,,-2.5,0.031553,,-2.5,-0.031553,,-2.5,-0.048069
-2,0,,-2,0.049236,,-2,0.032604,,-2,-0.032604,,-2,-0.049236
-1.5,0,,-1.5,0.0504,,-1.5,0.033655,,-1.5,-0.033655,,-1.5,-0.0504
-1,0,,-1,0.05156,,-1,0.034705,,-1,-0.034705,,-1,-0.05156
-0.5,0,,-0.5,0.052716,,-0.5,0.035754,,-0.5,-0.035754,,-0.5,-0.052716
0,0,,0,0.053866,,0,0.036801,,0,-0.036801,,0,-0.053866
0.5,0,,0.5,0.055011,,0.5,0.037846,,0.5,-0.037846,,0.5,-0.055011
1,0,,1,0.05615,,1,0.038889,,1,-0.038889,,1,-0.05615
1.5,0,,1.5,0.057284,,1.5,0.03993,,1.5,-0.03993,,1.5,-0.057284
2,0,,2,0.058411,,2,0.040967,,2,-0.040967,,2,-0.058411
2.5,0,,2.5,0.059531,,2.5,0.042002,,2.5,-0.042002,,2.5,-0.059531
3,0,,3,0.060645,,3,0.043032,,3,-0.043032,,3,-0.060645
3.5,0,,3.5,0.061751,,3.5,0.044059,,3.5,-0.044059,,3.5,-0.061751
4,0,,4,0.062849,,4,0.045082,,4,-0.045082,,4,-0.062849
4.5,0,,4.5,0.06394,,4.5,0.046101,,4.5,-0.046101,,4.5,-0.06394
5,0,,5,0.065022,,5,0.047115,,5,-0.047115,,5,-0.065022
5.5,0,,5.5,0.066095,,5.5,0.048123,,5.5,-0.048123,,5.5,-0.066095
6,0,,6,0.067159,,6,0.049127,,6,-0.049127,,6,-0.067159
6.5,0,,6.5,0.068214,,6.5,0.050124,,6.5,-0.050124,,6.5,-0.068214
7,0,,7,0.06926,,7,0.051116,,7,-0.051116,,7,-0.06926
7.5,0,,7.5,0.070295,,7.5,0.052102,,7.5,-0.052102,,7.5,-0.070295
8,0,,8,0.07132,,8,0.05308,,8,-0.05308,,8,-0.07132
8.5,0,,8.5,0.072335,,8.5,0.054052,,8.5,-0.054052,,8.5,-0.072335
9,0,,9,0.073339,,9,0.055017,,9,-0.055017,,9,-0.073339
9.5,0,,9.5,0.074331,,9.5,0.055975,,9.5,-0.055975,,9.5,-0.074331
10,0,,10,0.075312,,10,0.056924,,10,-0.056924,,10,-0.075312
10.5,0,,10.5,0.076281,,10.5,0.057866,,10.5,-0.057866,,10.5,-0.076281
11,0,,11,0.077238,,11,0.058799,,11,-0.058799,,11,-0.077238
11.5,0,,11.5,0.078183,,11.5,0.059724,,11.5,-0.059724,,11.5,-0.078183
12,0, ,12,0.079115, ,12,0.06064, ,12,-0.06064, ,12,-0.079115
12.5,0,,12.5,0.080034,,12.5,0.061546,,12.5,-0.061546,,12.5,-0.080034
13,0,,13,0.080939,,13,0.062443,,13,-0.062443,,13,-0.080939
13.5,0,,13.5,0.081832,,13.5,0.063331,,13.5,-0.063331,,13.5,-0.081832
14,0,,14,0.08271,,14,0.064208,,14,-0.064208,,14,-0.08271
14.5,0,,14.5,0.083574,,14.5,0.065075,,14.5,-0.065075,,14.5,-0.083574
15,0,,15,0.084424,,15,0.065932,,15,-0.065932,,15,-0.084424
15.5,0,,15.5,0.08526,,15.5,0.066778,,15.5,-0.066778,,15.5,-0.08526
16,0,,16,0.08608,,16,0.067613,,16,-0.067613,,16,-0.08608
16.5,0,,16.5,0.086886,,16.5,0.068436,,16.5,-0.068436,,16.5,-0.086886
17,0,,17,0.087676,,17,0.069248,,17,-0.069248,,17,-0.087676
