Alpha,-0.5, , Alpha,-1, , Alpha,-1.5, , Alpha,-2, , Alpha,-2.5, , Alpha,-3, , Alpha,-3.5, , Alpha,-4, , Alpha,-4.5, , Alpha,-5, , Alpha,0, , Alpha,0.5, , Alpha,1, , Alpha,1.5, , Alpha,2, , Alpha,2.5, , Alpha,3, , Alpha,3.5, , Alpha,4, , Alpha,4.5, , Alpha,5
-6,0.082904, ,-6,0.153025, ,-6,0.233111, ,-6,0.311374, ,-6,0.391001, ,-6,0.472507, ,-6,0.547389, ,-6,0.624194, ,-6,0.701174, ,-6,0.7784, ,-6,  1.475844e-16, ,-6,-0.082904, ,-6,-0.153025, ,-6,-0.233111, ,-6,-0.311374, ,-6,-0.391001, ,-6,-0.472507, ,-6,-0.547389, ,-6,-0.624194, ,-6,-0.701174, ,-6,-0.7784
-5.5,0.093765, ,-5.5,0.152477, ,-5.5,0.242343, ,-5.5,0.315433, ,-5.5,0.394891, ,-5.5,0.472054, ,-5.5,0.548532, ,-5.5,0.625909, ,-5.5,0.703139, ,-5.5,0.779585, ,-5.5,  1.303011e-16, ,-5.5,-0.093765, ,-5.5,-0.152477, ,-5.5,-0.242343, ,-5.5,-0.315433, ,-5.5,-0.394891, ,-5.5,-0.472054, ,-5.5,-0.548532, ,-5.5,-0.625909, ,-5.5,-0.703139, ,-5.5,-0.779585
-5,0.115821, ,-5,0.153299, ,-5,0.226965, ,-5,0.319084, ,-5,0.3977, ,-5,0.472911, ,-5,0.544916, ,-5,0.628973, ,-5,0.704719, ,-5,0.781541, ,-5,  1.078098e-16, ,-5,-0.115821, ,-5,-0.153299, ,-5,-0.226965, ,-5,-0.319084, ,-5,-0.3977, ,-5,-0.472911, ,-5,-0.544916, ,-5,-0.628973, ,-5,-0.704719, ,-5,-0.781541
-4.5,0.092709, ,-4.5,0.152528, ,-4.5,0.213021, ,-4.5,0.311019, ,-4.5,0.362893, ,-4.5,0.480144, ,-4.5,0.556738, ,-4.5,0.625563, ,-4.5,0.706327, ,-4.5,0.783658, ,-4.5,  8.970326e-17, ,-4.5,-0.092709, ,-4.5,-0.152528, ,-4.5,-0.213021, ,-4.5,-0.311019, ,-4.5,-0.362893, ,-4.5,-0.480144, ,-4.5,-0.556738, ,-4.5,-0.625563, ,-4.5,-0.706327, ,-4.5,-0.783658
-4,0.074791, ,-4,0.167816, ,-4,0.232549, ,-4,0.314916, ,-4,0.40114, ,-4,0.481213, ,-4,0.534676, ,-4,0.62867, ,-4,0.71294, ,-4,0.786846, ,-4,  7.001153e-17, ,-4,-0.074791, ,-4,-0.167816, ,-4,-0.232549, ,-4,-0.314916, ,-4,-0.40114, ,-4,-0.481213, ,-4,-0.534676, ,-4,-0.62867, ,-4,-0.71294, ,-4,-0.786846
-3.5,0.074649, ,-3.5,0.166031, ,-3.5,0.228494, ,-3.5,0.327357, ,-3.5,-0.497311, ,-3.5,0.752635, ,-3.5,0.542247, ,-3.5,0.649016, ,-3.5,0.718763, ,-3.5,0.789934, ,-3.5,  5.048137e-17, ,-3.5,-0.074649, ,-3.5,-0.166031, ,-3.5,-0.228494, ,-3.5,-0.327357, ,-3.5,0.497311, ,-3.5,-0.752635, ,-3.5,-0.542247, ,-3.5,-0.649016, ,-3.5,-0.718763, ,-3.5,-0.789934
-3,0.068373, ,-3,0.158162, ,-3,0.241011, ,-3,0.35031, ,-3,0.368157, ,-3,0.464001, ,-3,0.593156, ,-3,0.64748, ,-3,0.67048, ,-3,0.765139, ,-3,   2.96098e-17, ,-3,-0.068373, ,-3,-0.158162, ,-3,-0.241011, ,-3,-0.35031, ,-3,-0.368157, ,-3,-0.464001, ,-3,-0.593156, ,-3,-0.64748, ,-3,-0.67048, ,-3,-0.765139
-2.5,0.082228, ,-2.5,0.171269, ,-2.5,0.231969, ,-2.5,0.287111, ,-2.5,0.380921, ,-2.5,0.480719, ,-2.5,0.562396, ,-2.5,0.612953, ,-2.5,0.671885, ,-2.5,0.796877, ,-2.5,  9.409081e-18, ,-2.5,-0.082228, ,-2.5,-0.171269, ,-2.5,-0.231969, ,-2.5,-0.287111, ,-2.5,-0.380921, ,-2.5,-0.480719, ,-2.5,-0.562396, ,-2.5,-0.612953, ,-2.5,-0.671885, ,-2.5,-0.796877
-2,0.082764, ,-2,0.157651, ,-2,0.222806, ,-2,0.308639, ,-2,0.39163, ,-2,0.482777, ,-2,0.460294, ,-2,0.596014, ,-2,0.707745, ,-2,0.449632, ,-2,-1.00E-17, ,-2,-0.082764, ,-2,-0.157651, ,-2,-0.222806, ,-2,-0.308639, ,-2,-0.39163, ,-2,-0.482777, ,-2,-0.460294, ,-2,-0.596014, ,-2,-0.707745, ,-2,-0.449632
-1.5,0.080698, ,-1.5,0.151374, ,-1.5,0.229727, ,-1.5,0.313894, ,-1.5,0.404632, ,-1.5,0.468027, ,-1.5,0.53512, ,-1.5,0.61316, ,-1.5,0.704981, ,-1.5,0.772028, ,-1.5,-2.97E-17, ,-1.5,-0.080698, ,-1.5,-0.151374, ,-1.5,-0.229727, ,-1.5,-0.313894, ,-1.5,-0.404632, ,-1.5,-0.468027, ,-1.5,-0.53512, ,-1.5,-0.61316, ,-1.5,-0.704981, ,-1.5,-0.772028
-1,0.074409, ,-1,0.154882, ,-1,0.232665, ,-1,0.311364, ,-1,0.388703, ,-1,0.484081, ,-1,0.540587, ,-1,0.613455, ,-1,0.695618, ,-1,0.768391, ,-1,-4.91E-17, ,-1,-0.074409, ,-1,-0.154882, ,-1,-0.232665, ,-1,-0.311364, ,-1,-0.388703, ,-1,-0.484081, ,-1,-0.540587, ,-1,-0.613455, ,-1,-0.695618, ,-1,-0.768391
-0.5,0.076907, ,-0.5,0.158793, ,-0.5,0.234722, ,-0.5,0.310191, ,-0.5,0.387502, ,-0.5,0.46377, ,-0.5,0.536363, ,-0.5,0.626053, ,-0.5,0.702646, ,-0.5,0.773909, ,-0.5,-6.78E-17, ,-0.5,-0.076907, ,-0.5,-0.158793, ,-0.5,-0.234722, ,-0.5,-0.310191, ,-0.5,-0.387502, ,-0.5,-0.46377, ,-0.5,-0.536363, ,-0.5,-0.626053, ,-0.5,-0.702646, ,-0.5,-0.773909
0,0.077636, ,0,0.156541, ,0,0.227847, ,0,0.311052, ,0,0.389962, ,0,0.46657, ,0,0.54355, ,0,0.63252, ,0,0.672724, ,0,0.760092, ,0,-8.91E-17, ,0,-0.077636, ,0,-0.156541, ,0,-0.227847, ,0,-0.311052, ,0,-0.389962, ,0,-0.46657, ,0,-0.54355, ,0,-0.63252, ,0,-0.672724, ,0,-0.760092
0.5,0.078655, ,0.5,0.15453, ,0.5,0.232831, ,0.5,0.313605, ,0.5,0.404174, ,0.5,0.465075, ,0.5,0.539985, ,0.5,0.633211, ,0.5,0.699988, ,0.5,0.780195, ,0.5,-1.07E-16, ,0.5,-0.078655, ,0.5,-0.15453, ,0.5,-0.232831, ,0.5,-0.313605, ,0.5,-0.404174, ,0.5,-0.465075, ,0.5,-0.539985, ,0.5,-0.633211, ,0.5,-0.699988, ,0.5,-0.780195
