Alpha,0, , Alpha,-10, , Alpha,-5, , Alpha,5, , Alpha,10
-6,0,,-6,-0.477722,,-6,-0.477722,,-6,0.477722,,-6,0.477722
-5.5,0,,-5.5,-0.474342,,-5.5,-0.474342,,-5.5,0.474342,,-5.5,0.474342
-5,0,,-5,-0.470901,,-5,-0.470901,,-5,0.470901,,-5,0.470901
-4.5,0,,-4.5,-0.4674,,-4.5,-0.4674,,-4.5,0.4674,,-4.5,0.4674
-4,0,,-4,-0.46384,,-4,-0.46384,,-4,0.46384,,-4,0.46384
-3.5,0,,-3.5,-0.460221,,-3.5,-0.460221,,-3.5,0.460221,,-3.5,0.460221
-3,0,,-3,-0.456546,,-3,-0.456546,,-3,0.456546,,-3,0.456546
-2.5,0,,-2.5,-0.452815,,-2.5,-0.452815,,-2.5,0.452815,,-2.5,0.452815
-2,0,,-2,-0.449029,,-2,-0.449029,,-2,0.449029,,-2,0.449029
-1.5,0,,-1.5,-0.44519,,-1.5,-0.44519,,-1.5,0.44519,,-1.5,0.44519
-1,0,,-1,-0.441299,,-1,-0.441299,,-1,0.441299,,-1,0.441299
-0.5,0,,-0.5,-0.437357,,-0.5,-0.437357,,-0.5,0.437357,,-0.5,0.437357
0,0,,0,-0.433364,,0,-0.433364,,0,0.433364,,0,0.433364
0.5,0,,0.5,-0.429323,,0.5,-0.429323,,0.5,0.429323,,0.5,0.429323
1,0,,1,-0.425235,,1,-0.425235,,1,0.425235,,1,0.425235
1.5,0,,1.5,-0.4211,,1.5,-0.4211,,1.5,0.4211,,1.5,0.4211
2,0,,2,-0.41692,,2,-0.41692,,2,0.41692,,2,0.41692
2.5,0,,2.5,-0.412697,,2.5,-0.412697,,2.5,0.412697,,2.5,0.412697
3,0,,3,-0.408431,,3,-0.408431,,3,0.408431,,3,0.408431
3.5,0,,3.5,-0.404124,,3.5,-0.404124,,3.5,0.404124,,3.5,0.404124
4,0,,4,-0.399777,,4,-0.399777,,4,0.399777,,4,0.399777
4.5,0,,4.5,-0.395392,,4.5,-0.395392,,4.5,0.395392,,4.5,0.395392
5,0,,5,-0.39097,,5,-0.39097,,5,0.39097,,5,0.39097
5.5,0,,5.5,-0.386512,,5.5,-0.386512,,5.5,0.386512,,5.5,0.386512
6,0,,6,-0.38202,,6,-0.38202,,6,0.38202,,6,0.38202
6.5,0,,6.5,-0.377494,,6.5,-0.377494,,6.5,0.377494,,6.5,0.377494
7,0,,7,-0.372937,,7,-0.372937,,7,0.372937,,7,0.372937
7.5,0,,7.5,-0.368349,,7.5,-0.368349,,7.5,0.368349,,7.5,0.368349
8,0,,8,-0.363733,,8,-0.363733,,8,0.363733,,8,0.363733
8.5,0,,8.5,-0.359089,,8.5,-0.359089,,8.5,0.359089,,8.5,0.359089
9,0,,9,-0.354419,,9,-0.354419,,9,0.354419,,9,0.354419
9.5,0,,9.5,-0.349725,,9.5,-0.349725,,9.5,0.349725,,9.5,0.349725
10,0,,10,-0.345007,,10,-0.345007,,10,0.345007,,10,0.345007
10.5,0,,10.5,-0.340267,,10.5,-0.340267,,10.5,0.340267,,10.5,0.340267
11,0,,11,-0.335507,,11,-0.335507,,11,0.335507,,11,0.335507
11.5,0,,11.5,-0.330729,,11.5,-0.330729,,11.5,0.330729,,11.5,0.330729
12,0, ,12,-0.325932, ,12,-0.325932, ,12,0.325932, ,12,0.325932
