Alpha,0, , Alpha,-10, , Alpha,-5, , Alpha,5, , Alpha,10
-6,0,,-6,-0.009271,,-6,-0.005863,,-6,0.005863,,-6,0.009271
-5.5,0,,-5.5,-0.009685,,-5.5,-0.00618,,-5.5,0.00618,,-5.5,0.009685
-5,0,,-5,-0.010138,,-5,-0.006528,,-5,0.006528,,-5,0.010138
-4.5,0,,-4.5,-0.01063,,-4.5,-0.006908,,-4.5,0.006908,,-4.5,0.01063
-4,0,,-4,-0.011161,,-4,-0.007319,,-4,0.007319,,-4,0.011161
-3.5,0,,-3.5,-0.01173,,-3.5,-0.007762,,-3.5,0.007762,,-3.5,0.01173
-3,0,,-3,-0.012339,,-3,-0.008237,,-3,0.008237,,-3,0.012339
-2.5,0,,-2.5,-0.012986,,-2.5,-0.008744,,-2.5,0.008744,,-2.5,0.012986
-2,0,,-2,-0.013671,,-2,-0.009283,,-2,0.009283,,-2,0.013671
-1.5,0,,-1.5,-0.014396,,-1.5,-0.009853,,-1.5,0.009853,,-1.5,0.014396
-1,0,,-1,-0.015158,,-1,-0.010456,,-1,0.010456,,-1,0.015158
-0.5,0,,-0.5,-0.015959,,-0.5,-0.01109,,-0.5,0.01109,,-0.5,0.015959
0,0,,0,-0.016799,,0,-0.011757,,0,0.011757,,0,0.016799
0.5,0,,0.5,-0.017676,,0.5,-0.012455,,0.5,0.012455,,0.5,0.017676
1,0,,1,-0.01859,,1,-0.013185,,1,0.013185,,1,0.01859
1.5,0,,1.5,-0.019542,,1.5,-0.013946,,1.5,0.013946,,1.5,0.019542
2,0,,2,-0.020532,,2,-0.01474,,2,0.01474,,2,0.020532
2.5,0,,2.5,-0.021558,,2.5,-0.015564,,2.5,0.015564,,2.5,0.021558
3,0,,3,-0.02262,,3,-0.01642,,3,0.01642,,3,0.02262
3.5,0,,3.5,-0.023718,,3.5,-0.017306,,3.5,0.017306,,3.5,0.023718
4,0,,4,-0.024852,,4,-0.018223,,4,0.018223,,4,0.024852
4.5,0,,4.5,-0.026021,,4.5,-0.019171,,4.5,0.019171,,4.5,0.026021
5,0,,5,-0.027224,,5,-0.020148,,5,0.020148,,5,0.027224
5.5,0,,5.5,-0.028462,,5.5,-0.021156,,5.5,0.021156,,5.5,0.028462
6,0,,6,-0.029733,,6,-0.022193,,6,0.022193,,6,0.029733
6.5,0,,6.5,-0.031037,,6.5,-0.023259,,6.5,0.023259,,6.5,0.031037
7,0,,7,-0.032374,,7,-0.024353,,7,0.024353,,7,0.032374
7.5,0,,7.5,-0.033743,,7.5,-0.025476,,7.5,0.025476,,7.5,0.033743
8,0,,8,-0.035142,,8,-0.026627,,8,0.026627,,8,0.035142
8.5,0,,8.5,-0.036572,,8.5,-0.027806,,8.5,0.027806,,8.5,0.036572
9,0,,9,-0.038032,,9,-0.029011,,9,0.029011,,9,0.038032
9.5,0,,9.5,-0.039521,,9.5,-0.030243,,9.5,0.030243,,9.5,0.039521
10,0,,10,-0.041039,,10,-0.0315,,10,0.0315,,10,0.041039
10.5,0,,10.5,-0.042584,,10.5,-0.032784,,10.5,0.032784,,10.5,0.042584
11,0,,11,-0.044156,,11,-0.034092,,11,0.034092,,11,0.044156
11.5,0,,11.5,-0.045754,,11.5,-0.035424,,11.5,0.035424,,11.5,0.045754
12,0, ,12,-0.047377, ,12,-0.03678, ,12,0.03678, ,12,0.047377
12.5,0,,12.5,-0.049024,,12.5,-0.038158,,12.5,0.038158,,12.5,0.049024
13,0,,13,-0.050695,,13,-0.03956,,13,0.03956,,13,0.050695
13.5,0,,13.5,-0.052389,,13.5,-0.040983,,13.5,0.040983,,13.5,0.052389
14,0,,14,-0.054104,,14,-0.042427,,14,0.042427,,14,0.054104
14.5,0,,14.5,-0.05584,,14.5,-0.043891,,14.5,0.043891,,14.5,0.05584
15,0,,15,-0.057595,,15,-0.045375,,15,0.045375,,15,0.057595
15.5,0,,15.5,-0.059369,,15.5,-0.046878,,15.5,0.046878,,15.5,0.059369
16,0,,16,-0.061162,,16,-0.048399,,16,0.048399,,16,0.061162
16.5,0,,16.5,-0.062971,,16.5,-0.049938,,16.5,0.049938,,16.5,0.062971
17,0,,17,-0.064795,,17,-0.051493,,17,0.051493,,17,0.064795
