Alpha,-0.5, , Alpha,-1, , Alpha,-1.5, , Alpha,-2, , Alpha,-2.5, , Alpha,-3, , Alpha,-3.5, , Alpha,-4, , Alpha,-4.5, , Alpha,-5, , Alpha,0, , Alpha,0.5, , Alpha,1, , Alpha,1.5, , Alpha,2, , Alpha,2.5, , Alpha,3, , Alpha,3.5, , Alpha,4, , Alpha,4.5, , Alpha,5, , 
-6,-0.00073, ,-6,0.005002, ,-6,0.008188, ,-6,0.009404, ,-6,0.009866, ,-6,0.008913, ,-6,0.01406, ,-6,0.016913, ,-6,0.019285, ,-6,0.021308, ,-6,7.23E-16, ,-6,0.00073, ,-6,-0.005002, ,-6,-0.008188, ,-6,-0.009404, ,-6,-0.009866, ,-6,-0.008913, ,-6,-0.01406, ,-6,-0.016913, ,-6,-0.019285, ,-6,-0.021308, , 
-5.5,-0.007367, ,-5.5,0.005187, ,-5.5,0.00356, ,-5.5,0.006249, ,-5.5,0.006856, ,-5.5,0.009552, ,-5.5,0.011503, ,-5.5,0.013419, ,-5.5,0.015305, ,-5.5,0.017489, ,-5.5,6.44E-16, ,-5.5,0.007367, ,-5.5,-0.005187, ,-5.5,-0.00356, ,-5.5,-0.006249, ,-5.5,-0.006856, ,-5.5,-0.009552, ,-5.5,-0.011503, ,-5.5,-0.013419, ,-5.5,-0.015305, ,-5.5,-0.017489, , 
-5,-0.02887, ,-5,0.006091, ,-5,0.012096, ,-5,0.005301, ,-5,0.005838, ,-5,0.007799, ,-5,0.013544, ,-5,0.010045, ,-5,0.011906, ,-5,0.013204, ,-5,5.56E-16, ,-5,0.02887, ,-5,-0.006091, ,-5,-0.012096, ,-5,-0.005301, ,-5,-0.005838, ,-5,-0.007799, ,-5,-0.013544, ,-5,-0.010045, ,-5,-0.011906, ,-5,-0.013204, , 
-4.5,-0.009023, ,-4.5,0.009189, ,-4.5,0.022964, ,-4.5,0.008331, ,-4.5,0.018724, ,-4.5,0.005052, ,-4.5,0.005305, ,-4.5,0.008698, ,-4.5,0.008477, ,-4.5,0.008983, ,-4.5,4.70E-16, ,-4.5,0.009023, ,-4.5,-0.009189, ,-4.5,-0.022964, ,-4.5,-0.008331, ,-4.5,-0.018724, ,-4.5,-0.005052, ,-4.5,-0.005305, ,-4.5,-0.008698, ,-4.5,-0.008477, ,-4.5,-0.008983, , 
-4,0.004155, ,-4,0.00032, ,-4,0.003909, ,-4,0.00575, ,-4,0.005772, ,-4,0.000787, ,-4,0.012667, ,-4,0.006088, ,-4,0.003721, ,-4,0.004811, ,-4,3.88E-16, ,-4,-0.004155, ,-4,-0.00032, ,-4,-0.003909, ,-4,-0.00575, ,-4,-0.005772, ,-4,-0.000787, ,-4,-0.012667, ,-4,-0.006088, ,-4,-0.003721, ,-4,-0.004811, , 
-3.5,0.001648, ,-3.5,-0.010107, ,-3.5,0.008204, ,-3.5,-0.00148, ,-3.5,0.323471, ,-3.5,-0.251734, ,-3.5,0.010922, ,-3.5,-0.003842, ,-3.5,-0.000898, ,-3.5,0.001019, ,-3.5,3.03E-16, ,-3.5,-0.001648, ,-3.5,0.010107, ,-3.5,-0.008204, ,-3.5,0.00148, ,-3.5,-0.323471, ,-3.5,0.251734, ,-3.5,-0.010922, ,-3.5,0.003842, ,-3.5,0.000898, ,-3.5,-0.001019, , 
-3,0.005097, ,-3,0.001972, ,-3,0.000028, ,-3,-0.016437, ,-3,0.013206, ,-3,0.007104, ,-3,-0.022128, ,-3,-0.012696, ,-3,0.0206, ,-3,0.006581, ,-3,2.21E-16, ,-3,-0.005097, ,-3,-0.001972, ,-3,-0.000028, ,-3,0.016437, ,-3,-0.013206, ,-3,-0.007104, ,-3,0.022128, ,-3,0.012696, ,-3,-0.0206, ,-3,-0.006581, , 
-2.5,-0.000388, ,-2.5,-0.004348, ,-2.5,0.001151, ,-2.5,0.005791, ,-2.5,0.005477, ,-2.5,-0.00503, ,-2.5,-0.007352, ,-2.5,0.009277, ,-2.5,0.013554, ,-2.5,-0.012491, ,-2.5,1.43E-16, ,-2.5,0.000388, ,-2.5,0.004348, ,-2.5,-0.001151, ,-2.5,-0.005791, ,-2.5,-0.005477, ,-2.5,0.00503, ,-2.5,0.007352, ,-2.5,-0.009277, ,-2.5,-0.013554, ,-2.5,0.012491, , 
-2,-0.002171, ,-2,-0.002421, ,-2,0.002667, ,-2,-0.000406, ,-2,-0.003068, ,-2,-0.010699, ,-2,0.041028, ,-2,0.006623, ,-2,-0.011425, ,-2,0.165473, ,-2,5.93E-17, ,-2,0.002171, ,-2,0.002421, ,-2,-0.002667, ,-2,0.000406, ,-2,0.003068, ,-2,0.010699, ,-2,-0.041028, ,-2,-0.006623, ,-2,0.011425, ,-2,-0.165473, , 
-1.5,-0.002018, ,-1.5,-0.001169, ,-1.5,-0.002216, ,-1.5,-0.005556, ,-1.5,-0.009495, ,-1.5,-0.008387, ,-1.5,-0.004628, ,-1.5,-0.007172, ,-1.5,-0.015481, ,-1.5,-0.010605, ,-1.5,-2.47E-17, ,-1.5,0.002018, ,-1.5,0.001169, ,-1.5,0.002216, ,-1.5,0.005556, ,-1.5,0.009495, ,-1.5,0.008387, ,-1.5,0.004628, ,-1.5,0.007172, ,-1.5,0.015481, ,-1.5,0.010605, , 
