Alpha,0, , Alpha,-10, , Alpha,-5, , Alpha,5, , Alpha,10
-6,0,,-6,-0.324094,,-6,-0.324094,,-6,0.324094,,-6,0.324094
-5.5,0,,-5.5,-0.315488,,-5.5,-0.315488,,-5.5,0.315488,,-5.5,0.315488
-5,0,,-5,-0.306914,,-5,-0.306914,,-5,0.306914,,-5,0.306914
-4.5,0,,-4.5,-0.298375,,-4.5,-0.298375,,-4.5,0.298375,,-4.5,0.298375
-4,0,,-4,-0.289875,,-4,-0.289875,,-4,0.289875,,-4,0.289875
-3.5,0,,-3.5,-0.281419,,-3.5,-0.281419,,-3.5,0.281419,,-3.5,0.281419
-3,0,,-3,-0.273009,,-3,-0.273009,,-3,0.273009,,-3,0.273009
-2.5,0,,-2.5,-0.264651,,-2.5,-0.264651,,-2.5,0.264651,,-2.5,0.264651
-2,0,,-2,-0.256348,,-2,-0.256348,,-2,0.256348,,-2,0.256348
-1.5,0,,-1.5,-0.248103,,-1.5,-0.248103,,-1.5,0.248103,,-1.5,0.248103
-1,0,,-1,-0.23992,,-1,-0.23992,,-1,0.23992,,-1,0.23992
-0.5,0,,-0.5,-0.231803,,-0.5,-0.231803,,-0.5,0.231803,,-0.5,0.231803
0,0,,0,-0.223756,,0,-0.223756,,0,0.223756,,0,0.223756
0.5,0,,0.5,-0.215781,,0.5,-0.215781,,0.5,0.215781,,0.5,0.215781
1,0,,1,-0.207883,,1,-0.207883,,1,0.207883,,1,0.207883
1.5,0,,1.5,-0.200065,,1.5,-0.200065,,1.5,0.200065,,1.5,0.200065
2,0,,2,-0.19233,,2,-0.19233,,2,0.19233,,2,0.19233
2.5,0,,2.5,-0.184681,,2.5,-0.184681,,2.5,0.184681,,2.5,0.184681
3,0,,3,-0.177121,,3,-0.177121,,3,0.177121,,3,0.177121
3.5,0,,3.5,-0.169654,,3.5,-0.169654,,3.5,0.169654,,3.5,0.169654
4,0,,4,-0.162282,,4,-0.162282,,4,0.162282,,4,0.162282
4.5,0,,4.5,-0.155009,,4.5,-0.155009,,4.5,0.155009,,4.5,0.155009
5,0,,5,-0.147837,,5,-0.147837,,5,0.147837,,5,0.147837
5.5,0,,5.5,-0.140769,,5.5,-0.140769,,5.5,0.140769,,5.5,0.140769
6,0,,6,-0.133807,,6,-0.133807,,6,0.133807,,6,0.133807
6.5,0,,6.5,-0.126954,,6.5,-0.126954,,6.5,0.126954,,6.5,0.126954
7,0,,7,-0.120213,,7,-0.120213,,7,0.120213,,7,0.120213
7.5,0,,7.5,-0.113586,,7.5,-0.113586,,7.5,0.113586,,7.5,0.113586
8,0,,8,-0.107075,,8,-0.107075,,8,0.107075,,8,0.107075
8.5,0,,8.5,-0.100683,,8.5,-0.100683,,8.5,0.100683,,8.5,0.100683
9,0,,9,-0.094411,,9,-0.094411,,9,0.094411,,9,0.094411
9.5,0,,9.5,-0.088262,,9.5,-0.088262,,9.5,0.088262,,9.5,0.088262
10,0,,10,-0.082237,,10,-0.082237,,10,0.082237,,10,0.082237
10.5,0,,10.5,-0.076339,,10.5,-0.076339,,10.5,0.076339,,10.5,0.076339
11,0,,11,-0.070568,,11,-0.070568,,11,0.070568,,11,0.070568
11.5,0,,11.5,-0.064927,,11.5,-0.064927,,11.5,0.064927,,11.5,0.064927
12,0, ,12,-0.059417, ,12,-0.059417, ,12,0.059417, ,12,0.059417
