Alpha,0, , Alpha,-10, , Alpha,-5, , Alpha,5, , Alpha,10
-6,0,,-6,-0.026299,,-6,-0.016544,,-6,0.016544,,-6,0.026299
-5.5,0,,-5.5,-0.028263,,-5.5,-0.01808,,-5.5,0.01808,,-5.5,0.028263
-5,0,,-5,-0.03023,,-5,-0.019621,,-5,0.019621,,-5,0.03023
-4.5,0,,-4.5,-0.032199,,-4.5,-0.021169,,-4.5,0.021169,,-4.5,0.032199
-4,0,,-4,-0.034168,,-4,-0.022722,,-4,0.022722,,-4,0.034168
-3.5,0,,-3.5,-0.036136,,-3.5,-0.024279,,-3.5,0.024279,,-3.5,0.036136
-3,0,,-3,-0.038103,,-3,-0.025839,,-3,0.025839,,-3,0.038103
-2.5,0,,-2.5,-0.040067,,-2.5,-0.027401,,-2.5,0.027401,,-2.5,0.040067
-2,0,,-2,-0.042026,,-2,-0.028964,,-2,0.028964,,-2,0.042026
-1.5,0,,-1.5,-0.04398,,-1.5,-0.030527,,-1.5,0.030527,,-1.5,0.04398
-1,0,,-1,-0.045927,,-1,-0.032089,,-1,0.032089,,-1,0.045927
-0.5,0,,-0.5,-0.047866,,-0.5,-0.03365,,-0.5,0.03365,,-0.5,0.047866
0,0,,0,-0.049796,,0,-0.035207,,0,0.035207,,0,0.049796
0.5,0,,0.5,-0.051716,,0.5,-0.036761,,0.5,0.036761,,0.5,0.051716
1,0,,1,-0.053625,,1,-0.03831,,1,0.03831,,1,0.053625
1.5,0,,1.5,-0.055521,,1.5,-0.039854,,1.5,0.039854,,1.5,0.055521
2,0,,2,-0.057404,,2,-0.04139,,2,0.04139,,2,0.057404
2.5,0,,2.5,-0.059271,,2.5,-0.042919,,2.5,0.042919,,2.5,0.059271
3,0,,3,-0.061123,,3,-0.04444,,3,0.04444,,3,0.061123
3.5,0,,3.5,-0.062958,,3.5,-0.045951,,3.5,0.045951,,3.5,0.062958
4,0,,4,-0.064774,,4,-0.047451,,4,0.047451,,4,0.064774
4.5,0,,4.5,-0.066571,,4.5,-0.04894,,4.5,0.04894,,4.5,0.066571
5,0,,5,-0.068347,,5,-0.050416,,5,0.050416,,5,0.068347
5.5,0,,5.5,-0.070102,,5.5,-0.051879,,5.5,0.051879,,5.5,0.070102
6,0,,6,-0.071835,,6,-0.053327,,6,0.053327,,6,0.071835
6.5,0,,6.5,-0.073544,,6.5,-0.054761,,6.5,0.054761,,6.5,0.073544
7,0,,7,-0.075228,,7,-0.056178,,7,0.056178,,7,0.075228
7.5,0,,7.5,-0.076886,,7.5,-0.057578,,7.5,0.057578,,7.5,0.076886
8,0,,8,-0.078518,,8,-0.05896,,8,0.05896,,8,0.078518
8.5,0,,8.5,-0.080121,,8.5,-0.060324,,8.5,0.060324,,8.5,0.080121
9,0,,9,-0.081697,,9,-0.061668,,9,0.061668,,9,0.081697
9.5,0,,9.5,-0.083242,,9.5,-0.062991,,9.5,0.062991,,9.5,0.083242
10,0,,10,-0.084757,,10,-0.064293,,10,0.064293,,10,0.084757
10.5,0,,10.5,-0.08624,,10.5,-0.065572,,10.5,0.065572,,10.5,0.08624
11,0,,11,-0.08769,,11,-0.066829,,11,0.066829,,11,0.08769
11.5,0,,11.5,-0.089108,,11.5,-0.068062,,11.5,0.068062,,11.5,0.089108
12,0, ,12,-0.090491, ,12,-0.06927, ,12,0.06927, ,12,0.090491
12.5,0,,12.5,-0.091838,,12.5,-0.070453,,12.5,0.070453,,12.5,0.091838
13,0,,13,-0.09315,,13,-0.071609,,13,0.071609,,13,0.09315
13.5,0,,13.5,-0.094426,,13.5,-0.072739,,13.5,0.072739,,13.5,0.094426
14,0,,14,-0.095663,,14,-0.073841,,14,0.073841,,14,0.095663
14.5,0,,14.5,-0.096863,,14.5,-0.074915,,14.5,0.074915,,14.5,0.096863
15,0,,15,-0.098023,,15,-0.075959,,15,0.075959,,15,0.098023
15.5,0,,15.5,-0.099144,,15.5,-0.076974,,15.5,0.076974,,15.5,0.099144
16,0,,16,-0.100224,,16,-0.077959,,16,0.077959,,16,0.100224
16.5,0,,16.5,-0.101264,,16.5,-0.078912,,16.5,0.078912,,16.5,0.101264
17,0,,17,-0.102262,,17,-0.079834,,17,0.079834,,17,0.102262
