Alpha,-0.5, , Alpha,-1, , Alpha,-1.5, , Alpha,-2, , Alpha,-2.5, , Alpha,-3, , Alpha,-3.5, , Alpha,-4, , Alpha,-4.5, , Alpha,-5, , Alpha,0, , Alpha,0.5, , Alpha,1, , Alpha,1.5, , Alpha,2, , Alpha,2.5, , Alpha,3, , Alpha,3.5, , Alpha,4, , Alpha,4.5, , Alpha,5
-6,-0.062012, ,-6,-0.11769, ,-6,-0.175202, ,-6,-0.236822, ,-6,-0.298763, ,-6,-0.362882, ,-6,-0.41849, ,-6,-0.477244, ,-6,-0.536489, ,-6,-0.596065, ,-6,  1.475844e-16, ,-6,0.062012, ,-6,0.11769, ,-6,0.175202, ,-6,0.236822, ,-6,0.298763, ,-6,0.362882, ,-6,0.41849, ,-6,0.477244, ,-6,0.536489, ,-6,0.596065
-5.5,-0.071572, ,-5.5,-0.120078, ,-5.5,-0.183069, ,-5.5,-0.243817, ,-5.5,-0.305799, ,-5.5,-0.364845, ,-5.5,-0.425108, ,-5.5,-0.48526, ,-5.5,-0.545405, ,-5.5,-0.604814, ,-5.5,  1.303011e-16, ,-5.5,0.071572, ,-5.5,0.120078, ,-5.5,0.183069, ,-5.5,0.243817, ,-5.5,0.305799, ,-5.5,0.364845, ,-5.5,0.425108, ,-5.5,0.48526, ,-5.5,0.545405, ,-5.5,0.604814
-5,-0.103527, ,-5,-0.120664, ,-5,-0.175067, ,-5,-0.247699, ,-5,-0.310066, ,-5,-0.370896, ,-5,-0.42326, ,-5,-0.493072, ,-5,-0.553451, ,-5,-0.614027, ,-5,  1.078098e-16, ,-5,0.103527, ,-5,0.120664, ,-5,0.175067, ,-5,0.247699, ,-5,0.310066, ,-5,0.370896, ,-5,0.42326, ,-5,0.493072, ,-5,0.553451, ,-5,0.614027
-4.5,-0.079736, ,-4.5,-0.117115, ,-4.5,-0.164428, ,-4.5,-0.248207, ,-4.5,-0.30032, ,-4.5,-0.37651, ,-4.5,-0.440149, ,-4.5,-0.500411, ,-4.5,-0.561514, ,-4.5,-0.622606, ,-4.5,  8.970326e-17, ,-4.5,0.079736, ,-4.5,0.117115, ,-4.5,0.164428, ,-4.5,0.248207, ,-4.5,0.30032, ,-4.5,0.37651, ,-4.5,0.440149, ,-4.5,0.500411, ,-4.5,0.561514, ,-4.5,0.622606
-4,-0.059952, ,-4,-0.132385, ,-4,-0.190914, ,-4,-0.250668, ,-4,-0.317355, ,-4,-0.388725, ,-4,-0.436192, ,-4,-0.506594, ,-4,-0.570136, ,-4,-0.630426, ,-4,  7.001153e-17, ,-4,0.059952, ,-4,0.132385, ,-4,0.190914, ,-4,0.250668, ,-4,0.317355, ,-4,0.388725, ,-4,0.436192, ,-4,0.506594, ,-4,0.570136, ,-4,0.630426
-3.5,-0.0631, ,-3.5,-0.150691, ,-3.5,-0.184518, ,-3.5,-0.266067, ,-3.5,0.165258, ,-3.5,-0.76242, ,-3.5,-0.440974, ,-3.5,-0.522352, ,-3.5,-0.578801, ,-3.5,-0.637681, ,-3.5,  5.048137e-17, ,-3.5,0.0631, ,-3.5,0.150691, ,-3.5,0.184518, ,-3.5,0.266067, ,-3.5,-0.165258, ,-3.5,0.76242, ,-3.5,0.440974, ,-3.5,0.522352, ,-3.5,0.578801, ,-3.5,0.637681
-3,-0.055273, ,-3,-0.128871, ,-3,-0.198125, ,-3,-0.293033, ,-3,-0.306824, ,-3,-0.382648, ,-3,-0.492949, ,-3,-0.53842, ,-3,-0.550365, ,-3,-0.637094, ,-3,   2.96098e-17, ,-3,0.055273, ,-3,0.128871, ,-3,0.198125, ,-3,0.293033, ,-3,0.306824, ,-3,0.382648, ,-3,0.492949, ,-3,0.53842, ,-3,0.550365, ,-3,0.637094
-2.5,-0.067507, ,-2.5,-0.141952, ,-2.5,-0.195528, ,-2.5,-0.246794, ,-2.5,-0.317889, ,-2.5,-0.401937, ,-2.5,-0.468546, ,-2.5,-0.502143, ,-2.5,-0.566793, ,-2.5,-0.666124, ,-2.5,  9.409081e-18, ,-2.5,0.067507, ,-2.5,0.141952, ,-2.5,0.195528, ,-2.5,0.246794, ,-2.5,0.317889, ,-2.5,0.401937, ,-2.5,0.468546, ,-2.5,0.502143, ,-2.5,0.566793, ,-2.5,0.666124
-2,-0.070057, ,-2,-0.135163, ,-2,-0.189142, ,-2,-0.260284, ,-2,-0.330077, ,-2,-0.408183, ,-2,-0.372288, ,-2,-0.504532, ,-2,-0.602166, ,-2,-0.35881, ,-2,-1.00E-17, ,-2,0.070057, ,-2,0.135163, ,-2,0.189142, ,-2,0.260284, ,-2,0.330077, ,-2,0.408183, ,-2,0.372288, ,-2,0.504532, ,-2,0.602166, ,-2,0.35881
-1.5,-0.068862, ,-1.5,-0.129378, ,-1.5,-0.196153, ,-1.5,-0.26766, ,-1.5,-0.339284, ,-1.5,-0.399133, ,-1.5,-0.455116, ,-1.5,-0.522933, ,-1.5,-0.60202, ,-1.5,-0.653973, ,-1.5,-2.97E-17, ,-1.5,0.068862, ,-1.5,0.129378, ,-1.5,0.196153, ,-1.5,0.26766, ,-1.5,0.339284, ,-1.5,0.399133, ,-1.5,0.455116, ,-1.5,0.522933, ,-1.5,0.60202, ,-1.5,0.653973
