Alpha,0, , Alpha,-10, , Alpha,-5, , Alpha,5, , Alpha,10
-6,0,,-6,0.606444,,-6,0.606444,,-6,-0.606444,,-6,-0.606444
-5.5,0,,-5.5,0.604337,,-5.5,0.604337,,-5.5,-0.604337,,-5.5,-0.604337
-5,0,,-5,0.602054,,-5,0.602054,,-5,-0.602054,,-5,-0.602054
-4.5,0,,-4.5,0.599596,,-4.5,0.599596,,-4.5,-0.599596,,-4.5,-0.599596
-4,0,,-4,0.596965,,-4,0.596965,,-4,-0.596965,,-4,-0.596965
-3.5,0,,-3.5,0.594164,,-3.5,0.594164,,-3.5,-0.594164,,-3.5,-0.594164
-3,0,,-3,0.591193,,-3,0.591193,,-3,-0.591193,,-3,-0.591193
-2.5,0,,-2.5,0.588056,,-2.5,0.588056,,-2.5,-0.588056,,-2.5,-0.588056
-2,0,,-2,0.584753,,-2,0.584753,,-2,-0.584753,,-2,-0.584753
-1.5,0,,-1.5,0.581288,,-1.5,0.581288,,-1.5,-0.581288,,-1.5,-0.581288
-1,0,,-1,0.577663,,-1,0.577663,,-1,-0.577663,,-1,-0.577663
-0.5,0,,-0.5,0.573881,,-0.5,0.573881,,-0.5,-0.573881,,-0.5,-0.573881
0,0,,0,0.569943,,0,0.569943,,0,-0.569943,,0,-0.569943
0.5,0,,0.5,0.565853,,0.5,0.565853,,0.5,-0.565853,,0.5,-0.565853
1,0,,1,0.561612,,1,0.561612,,1,-0.561612,,1,-0.561612
1.5,0,,1.5,0.557225,,1.5,0.557225,,1.5,-0.557225,,1.5,-0.557225
2,0,,2,0.552693,,2,0.552693,,2,-0.552693,,2,-0.552693
2.5,0,,2.5,0.54802,,2.5,0.54802,,2.5,-0.54802,,2.5,-0.54802
3,0,,3,0.543209,,3,0.543209,,3,-0.543209,,3,-0.543209
3.5,0,,3.5,0.538263,,3.5,0.538263,,3.5,-0.538263,,3.5,-0.538263
4,0,,4,0.533185,,4,0.533185,,4,-0.533185,,4,-0.533185
4.5,0,,4.5,0.527978,,4.5,0.527978,,4.5,-0.527978,,4.5,-0.527978
5,0,,5,0.522646,,5,0.522646,,5,-0.522646,,5,-0.522646
5.5,0,,5.5,0.517192,,5.5,0.517192,,5.5,-0.517192,,5.5,-0.517192
6,0,,6,0.51162,,6,0.51162,,6,-0.51162,,6,-0.51162
6.5,0,,6.5,0.505932,,6.5,0.505932,,6.5,-0.505932,,6.5,-0.505932
7,0,,7,0.500133,,7,0.500133,,7,-0.500133,,7,-0.500133
7.5,0,,7.5,0.494227,,7.5,0.494227,,7.5,-0.494227,,7.5,-0.494227
8,0,,8,0.488216,,8,0.488216,,8,-0.488216,,8,-0.488216
8.5,0,,8.5,0.482105,,8.5,0.482105,,8.5,-0.482105,,8.5,-0.482105
9,0,,9,0.475897,,9,0.475897,,9,-0.475897,,9,-0.475897
9.5,0,,9.5,0.469597,,9.5,0.469597,,9.5,-0.469597,,9.5,-0.469597
10,0,,10,0.463208,,10,0.463208,,10,-0.463208,,10,-0.463208
10.5,0,,10.5,0.456734,,10.5,0.456734,,10.5,-0.456734,,10.5,-0.456734
11,0,,11,0.45018,,11,0.45018,,11,-0.45018,,11,-0.45018
11.5,0,,11.5,0.443548,,11.5,0.443548,,11.5,-0.443548,,11.5,-0.443548
12,0, ,12,0.436844, ,12,0.436844, ,12,-0.436844, ,12,-0.436844
